,Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
20,24/04/2020 21:15,1501478858,BeAware Bahrain,bh,0.11.0,Bahrain mann1430,5,تطبيق عالمي,أول دولة خليجية ويمكن على مستوى العالم تطلق تطبيق الكتروني لمتابعة مخالطي الكورونا.. شكراً يا البحرين,A global application is the first Gulf country  and it can launch an electronic application on the level of the world to follow up those in contact with Corona .. Thank you  Bahrain,ar,A global application is the first Gulf country  and it can launch an electronic application on the level of the world to follow up those in contact with Corona    Thank you  Bahrain,"Domain_Specific, Language, Location","countri, countri, bahrain, follow, level, applic",0.4,Positive,0,,1,0,,1,1,0,0
21,24/04/2020 18:16,1501478858,BeAware Bahrain,bh,0.11.0,Hanan M sultab,5,Excellent app. Very helpful and useful,Thanks to the government of Bahrain for this app, Excellent app. Very helpful and useful Thanks to the government of Bahrain for this app ,en, Excellent app  Very helpful and useful Thanks to the government of Bahrain for this app ,Location,bahrain,0.111111111,Positive,0,,0,0,,0,1,0,0
22,24/04/2020 6:54,1501478858,BeAware Bahrain,us,0.11.0,iisawaii,1,لا يعمل,يعطيني خلل و يطلب مني سماح للوصول للموقع، مع ان سمحت للتطبيق بالوصول للموقع لكن يستمر بالطلب,Does not work give me a bug and asks me to allow access to the site  although I allowed the application to access the site  but the request continues,ar,Does not work give me a bug and asks me to allow access to the site  although I allowed the application to access the site  but the request continues,Domain_Specific,applic,0.066666667,Positive,0,,1,0,,0,0,0,0
23,19/04/2020 5:03,1501478858,BeAware Bahrain,bh,0.11.0,The Darkskull,5,Appreciation from the heart,"I thank my beautiful Country for such precautions that would eventually save the lives of thousands of people. Stay strong and stay safe, love you all.", Appreciation from the heart I thank my beautiful Country for such precautions that would eventually save the lives of thousands of people. Stay strong and stay safe  love you all. ,en, Appreciation from the heart I thank my beautiful Country for such precautions that would eventually save the lives of thousands of people  Stay strong and stay safe  love you all  ,"Language, Location","countri, countri",0.117647059,Positive,0,,0,0,,1,1,0,0
24,18/04/2020 20:55,1501478858,BeAware Bahrain,in,0.11.0,sanisha23,1,App is not accurate,Kindly add a customer care number/ technical support number, App is not accurate Kindly add a customer care number/ technical support number ,en, App is not accurate Kindly add a customer care number  technical support number ,"Domain_Specific, Socio_economic_Status","technic, custom",0.2,Positive,0,,1,0,,0,0,0,1
27,14/04/2020 20:48,1501478858,BeAware Bahrain,bh,0.11.0,mohammedarq,5,Long Live Bahrain,"I am very proud to be a Resident of Bahrain .No words to Thank Bahrain Government and all appreciations to Mediacal staff and Associated Department.

God Bless Bahrain and its Rulers.

May Allah protect us From Evil Eyes and Unknown enemies.

In any ways if the Government requires any volunteers I will be ready to serve the nation without any delay."," Long Live Bahrain I am very proud to be a Resident of Bahrain .No words to Thank Bahrain Government and all appreciations to Mediacal staff and Associated Department.

God Bless Bahrain and its Rulers.

May Allah protect us From Evil Eyes and Unknown enemies.

In any ways if the Government requires any volunteers I will be ready to serve the nation without any delay. ",en, Long Live Bahrain I am very proud to be a Resident of Bahrain  No words to Thank Bahrain Government and all appreciations to Mediacal staff and Associated Department   God Bless Bahrain and its Rulers   May Allah protect us From Evil Eyes and Unknown enemies   In any ways if the Government requires any volunteers I will be ready to serve the nation without any delay  ,"Domain_Specific, Location, Privacy","bahrain, protect, ruler, staff, volunt",0.125,Positive,0,,1,0,,0,1,1,0
29,14/04/2020 13:38,1501478858,BeAware Bahrain,bh,0.11.0,Nasser Alshowaikh,5,Thank you Bahrain❤️🇧🇭,"Grateful to be a citizen of this caring, loving country, thanks to our beloved country❤️🇧🇭", Thank you Bahrain❤️🇧🇭 Grateful to be a citizen of this caring  loving country  thanks to our beloved country❤️🇧🇭 ,en, Thank you Bahrain     Grateful to be a citizen of this caring  loving country  thanks to our beloved country     ,"Language, Location","countri, countri, bahrain",0.3,Positive,0,,0,0,,1,1,0,0
30,14/04/2020 7:23,1501478858,BeAware Bahrain,bh,0.11.0,MOYB5RT,5,Appointment option,I cannot see the option to take appointment for the exit test. Where is that option located in the app?, Appointment option I cannot see the option to take appointment for the exit test. Where is that option located in the app? ,en, Appointment option I cannot see the option to take appointment for the exit test  Where is that option located in the app  ,"Domain_Specific, Privacy","locat, locat",0.181818182,Neutral,0,,1,0,,0,0,1,0
32,11/4/20 17:19,1501478858,BeAware Bahrain,bh,0.9.0,Yasmeen the great,5,Grateful,I am very grateful for all the efforts Bahrain govt has made to make its citizens and residents safe. God bless our leadership and people for all your efforts and care to keep us safe and protected., Grateful I am very grateful for all the efforts Bahrain govt has made to make its citizens and residents safe. God bless our leadership and people for all your efforts and care to keep us safe and protected. ,en, Grateful I am very grateful for all the efforts Bahrain govt has made to make its citizens and residents safe  God bless our leadership and people for all your efforts and care to keep us safe and protected  ,"Location, Privacy","bahrain, protect",0.095238095,Positive,0,,0,0,,0,1,1,0
33,10/4/20 1:52,1501478858,BeAware Bahrain,us,0.9.0,Balmosawi,5,...,It’s a very important app. Thank you all .. we are proud of you., ... It’s a very important app. Thank you all .. we are proud of you. ,en,     It s a very important app  Thank you all    we are proud of you  ,Domain_Specific,import,0.2,Positive,0,,1,0,,0,0,0,0
34,9/4/20 15:23,1501478858,BeAware Bahrain,ae,0.8.0,Ashraf 782,5,Great job,this App will help easily track COVID area, Great job this App will help easily track COVID area ,en, Great job this App will help easily track COVID area ,"Location, Privacy","area, track",0.25,Positive,0,,0,0,,0,1,1,0
35,9/4/20 15:22,1501478858,BeAware Bahrain,bh,0.8.0,nbuery,5,الله يعطيكم الصحه والعافية على هالمجهود ❤️,Thank you from the bottom of my heart ❤️ thank you for taking care of us ❤️, الله يعطيكم الصحه والعافية على هالمجهود ❤️ Thank you from the bottom of my heart ❤️ thank you for taking care of us ❤️ ,en,                                            Thank you from the bottom of my heart    thank you for taking care of us    ,Domain_Specific,bottom,0.142857143,Positive,0,,1,0,,0,0,0,0
36,9/4/20 14:33,1501478858,BeAware Bahrain,bh,0.6.0,أبو عايشة,5,تقييم البرنامج,"برنامج فريد من نوعه لكم الأسبقية والتميز في طرحه، خدم شريحة كبيرة من المجتمع
لكم جزيل الشكر والتقدير
والبحرين دائما في الطليعة 

A unique program that takes precedence and excellence in its offering, served a large segment of society
 Thank you very much
 Bahrain is always at the forefront"," تقييم البرنامج برنامج فريد من نوعه لكم الأسبقية والتميز في طرحه، خدم شريحة كبيرة من المجتمع
لكم جزيل الشكر والتقدير
والبحرين دائما في الطليعة 

A unique program that takes precedence and excellence in its offering  served a large segment of society
 Thank you very much
 Bahrain is always at the forefront ",en,                                                                                                                                                 A unique program that takes precedence and excellence in its offering  served a large segment of society  Thank you very much  Bahrain is always at the forefront ,Location,bahrain,0.0625,Positive,0,,0,0,,0,1,0,0
37,9/4/20 10:13,1501478858,BeAware Bahrain,bh,0.8.0,haman987,5,كفو عليكم كلنا فريق البحرين🇧🇭🇧🇭🛡,Best app about corona,Koo  we are all Bahrain team🇧🇭🇧🇭🛡 Best app about corona,ar,Koo  we are all Bahrain team      Best app about corona,Location,bahrain,0.166666667,Positive,0,,0,0,,0,1,0,0
38,8/4/20 9:41,1501478858,BeAware Bahrain,us,0.6.0,Albastiki96,3,Content,"its a great and interesting app actually, i liked it ❤️. But, from a medical point of view, the information regarding the disease and how does it spread needs to be updated according to the latest researches as it is outdated 👌🏻", Content its a great and interesting app actually  i liked it ❤️. But  from a medical point of view  the information regarding the disease and how does it spread needs to be updated according to the latest researches as it is outdated 👌🏻 ,en, Content its a great and interesting app actually  i liked it     But  from a medical point of view  the information regarding the disease and how does it spread needs to be updated according to the latest researches as it is outdated    ,Domain_Specific,medic,0.05,Positive,0,,1,0,,0,0,0,0
40,7/4/20 18:55,1501478858,BeAware Bahrain,bh,0.6.0,nalahmed,5,Thank you💕,"We can’t thank our government enough for this amazing, creative and very useful initiative! You are really taking all possible precautionary measures to reduce the impact of this pandemic on your citizens.  Thank you, we shall get over this together. ♥️🙏🏼", Thank you💕 We can’t thank our government enough for this amazing  creative and very useful initiative! You are really taking all possible precautionary measures to reduce the impact of this pandemic on your citizens.  Thank you  we shall get over this together. ♥️🙏🏼 ,en, Thank you  We can t thank our government enough for this amazing  creative and very useful initiative  You are really taking all possible precautionary measures to reduce the impact of this pandemic on your citizens   Thank you  we shall get over this together       ,Domain_Specific,"reduc, measur",0.090909091,Positive,0,,1,0,,0,0,0,0
41,6/4/20 17:21,1501478858,BeAware Bahrain,bh,0.6.0,iSayoo Alshaikh,5,Comforting gift♥️,First of all thank you so much eGovernment for such a beneficial app which made us less worried and less nervous and more conscious !! It is as important to us as it is to the government where we can knw if we happened to encounter someone infected or not which makes us comfortably go to work and market for important grocery and even for self and family care check♥️♥️♥️, Comforting gift♥️ First of all thank you so much eGovernment for such a beneficial app which made us less worried and less nervous and more conscious !! It is as important to us as it is to the government where we can knw if we happened to encounter someone infected or not which makes us comfortably go to work and market for important grocery and even for self and family care check♥️♥️♥️ ,en, Comforting gift   First of all thank you so much eGovernment for such a beneficial app which made us less worried and less nervous and more conscious    It is as important to us as it is to the government where we can knw if we happened to encounter someone infected or not which makes us comfortably go to work and market for important grocery and even for self and family care check       ,"Domain_Specific, Emotional","worri, nervous, import",0.083333333,Positive,0,,1,1,,0,0,0,0
43,6/4/20 15:53,1501478858,BeAware Bahrain,bh,0.6.0,Ebrahim selail,5,Great application,"We are proud of the Bahrain team, for this electronic achievement in the fight against the Corona epidemic. I hope citizens and residents will use it in the best way.", Great application We are proud of the Bahrain team  for this electronic achievement in the fight against the Corona epidemic. I hope citizens and residents will use it in the best way. ,en, Great application We are proud of the Bahrain team  for this electronic achievement in the fight against the Corona epidemic  I hope citizens and residents will use it in the best way  ,"Domain_Specific, Location","bahrain, applic",0.125,Positive,0,,1,0,,0,1,0,0
44,6/4/20 15:50,1501478858,BeAware Bahrain,bh,0.6.0,ALMALKI BAHRAIN,5,تطبيق بحريني,البحرين دائما في المقدمة لخدمة مواطنيها شكرا لفريق البحرين كل التوفيق,Bahraini Bahrain application is always at the forefront to serve its citizens Thank you to the Bahrain team all the best,ar,Bahraini Bahrain application is always at the forefront to serve its citizens Thank you to the Bahrain team all the best,"Domain_Specific, Location","bahrain, applic",0.181818182,Positive,0,,1,0,,0,1,0,0
45,6/4/20 15:27,1501478858,BeAware Bahrain,bh,0.6.0,Fatima.Hasan,5,Team Bahrain 🇧🇭🇧🇭👏👏,So Proud of all team bahrain 👏👏🇧🇭🇧🇭 Thank you all 👏👏🇧🇭🇧🇭, Team Bahrain 🇧🇭🇧🇭👏👏 So Proud of all team bahrain 👏👏🇧🇭🇧🇭 Thank you all 👏👏🇧🇭🇧🇭 ,en, Team Bahrain        So Proud of all team bahrain        Thank you all        ,Location,bahrain,0.166666667,Positive,0,,0,0,,0,1,0,0
46,6/4/20 15:17,1501478858,BeAware Bahrain,pk,0.6.0,Munawar Zareef,5,Love Bharain,I stay 3 years in Dubai Then my Friend invite me here bahrain now i love bahrain, Love Bharain I stay 3 years in Dubai Then my Friend invite me here bahrain now i love bahrain ,en, Love Bharain I stay   years in Dubai Then my Friend invite me here bahrain now i love bahrain ,Location,bahrain,0.1,Positive,0,,0,0,,0,1,0,0
47,6/4/20 14:36,1501478858,BeAware Bahrain,gb,0.6.0,9awa3,5,Staying Safe,"Very useful app in this critical stage of the Corona spread. It’s to the point, easy to use, informative, up-to date and keeps your mind at ease.", Staying Safe Very useful app in this critical stage of the Corona spread. It’s to the point  easy to use  informative  up-to date and keeps your mind at ease. ,en, Staying Safe Very useful app in this critical stage of the Corona spread  It s to the point  easy to use  informative  up to date and keeps your mind at ease  ,Domain_Specific,critic,0.058823529,Positive,0,,1,0,,0,0,0,0
49,6/4/20 13:57,1501478858,BeAware Bahrain,gb,0.6.0,Alshomaly,5,Great effors,"Well done Bahrain & eGov, its a great app that comes at the right time", Great effors Well done Bahrain & eGov  its a great app that comes at the right time ,en, Great effors Well done Bahrain   eGov  its a great app that comes at the right time ,Location,bahrain,0.090909091,Positive,0,,0,0,,0,1,0,0
50,5/4/20 1:26,1501478858,BeAware Bahrain,bh,0.5.0,عبدالرحمن الزايد,5,Thanks Bahrain Team 💪🏻 🇧🇭,"It's amazing App. All of us in Bahrain need this and should be used. 👍
I have suggestions, The App need a small enhancement, Currently it utilizes and using so much data while using iPhone setting as (Allowing the location ON as always). Thanks for your efforts and great idea."," Thanks Bahrain Team 💪🏻 🇧🇭 It's amazing App. All of us in Bahrain need this and should be used. 👍
I have suggestions  The App need a small enhancement  Currently it utilizes and using so much data while using iPhone setting as (Allowing the location ON as always). Thanks for your efforts and great idea. ",en, Thanks Bahrain Team       It s amazing App  All of us in Bahrain need this and should be used    I have suggestions  The App need a small enhancement  Currently it utilizes and using so much data while using iPhone setting as  Allowing the location ON as always   Thanks for your efforts and great idea  ,"Domain_Specific, Location, Privacy","bahrain, data, locat, locat",0.137931034,Positive,0,,1,0,,0,1,1,0
51,4/4/20 23:27,1501478858,BeAware Bahrain,bh,0.5.0,ma sanad123,5,Good job Team baharin👏🏻🇧🇭,"Great application, keep up the good work to keep bahrain safe 👏🏻👏🏻", Good job Team baharin👏🏻🇧🇭 Great application  keep up the good work to keep bahrain safe 👏🏻👏🏻 ,en, Good job Team baharin     Great application  keep up the good work to keep bahrain safe      ,"Domain_Specific, Location","bahrain, applic",0.166666667,Positive,0,,1,0,,0,1,0,0
54,3/4/20 10:07,1501478858,BeAware Bahrain,us,0.4.0,Hussain.B,5,كلشي تمام,التسجيل اسرع تسجيل مر عليي و شكله مافيه اي مشاكل,The registration is complete  the fastest recording has passed me and its appearance. There are no problems,ar,The registration is complete  the fastest recording has passed me and its appearance  There are no problems,Domain_Specific,record,0.142857143,Positive,0,,1,0,,0,0,0,0
55,2/4/20 14:45,1501478858,BeAware Bahrain,bh,0.4.0,Khalid Buhaila,5,جهود جبارة تشكرون عليها,يعطيكم العافية جميعاً وشكر خاص لكل طواقمنه وكوادرنا الطبيه وكلنا فريق البحرين وشكر لكل من ساهم على عمل هذا البرنامج هذه الجهود عظيمة ولا تنسى لكل الكوادر الطبية والمساهمين فيها يكفينه فخر اننا بحرينيين 🇧🇭❤️🇧🇭❤️🇧🇭❤️,Great efforts that you thank for give you all wellness and special thanks to all of its medical teams and cadres and all of us are the Bahrain team  and thanks to everyone who contributed to the work of this program. These efforts are great and unforgettable for all the medical staff and their contributors. Pride that we are Bahrainis.,ar,Great efforts that you thank for give you all wellness and special thanks to all of its medical teams and cadres and all of us are the Bahrain team  and thanks to everyone who contributed to the work of this program  These efforts are great and unforgettable for all the medical staff and their contributors  Pride that we are Bahrainis ,"Domain_Specific, Location","bahrain, staff, medic",0.115384615,Positive,0,,1,0,,0,1,0,0
56,1/4/20 19:28,1501478858,BeAware Bahrain,bh,0.3.0,Nadeemo10,5,Bless you team Bahrain 💪🏻👍🏻❤️🇧🇭,"An excellent, up-to-date, and a very beneficial application to assist all the citizens and foreigners across out beautiful kingdom 👏🏻👏🏻👏🏻", Bless you team Bahrain 💪🏻👍🏻❤️🇧🇭 An excellent  up-to-date  and a very beneficial application to assist all the citizens and foreigners across out beautiful kingdom 👏🏻👏🏻👏🏻 ,en, Bless you team Bahrain          An excellent  up to date  and a very beneficial application to assist all the citizens and foreigners across out beautiful kingdom        ,"Domain_Specific, Location","bahrain, applic",0.142857143,Positive,0,,1,0,,0,1,0,0
57,1/4/20 19:28,1501478858,BeAware Bahrain,bh,0.3.0,ع جناحي,5,من اجل البحرين خلك فل بيت,"يعطيكم الف صحة و عافيه والله يقويكم و عقبال عدد الحالات صفر بإذن الله و بالتوفيق 
معاً لأجل البحرين","For the sake of Bahrain  let a house give you a thousand health and well-being  and God strengthens you. The number of cases is zero  God willing and with success
Together for Bahrain",ar,For the sake of Bahrain  let a house give you a thousand health and well being  and God strengthens you  The number of cases is zero  God willing and with success Together for Bahrain,Location,bahrain,0.058823529,Positive,0,,0,0,,0,1,0,0
58,1/4/20 18:47,1501478858,BeAware Bahrain,bh,0.3.0,ThuG_LuV,5,Thanks Alot,"its really great app will be very helpful 
thanks for bahrain team 🌹"," Thanks Alot its really great app will be very helpful 
thanks for bahrain team 🌹 ",en, Thanks Alot its really great app will be very helpful  thanks for bahrain team   ,Location,bahrain,0.1,Positive,0,,0,0,,0,1,0,0
59,31/03/2020 16:56,1501478858,BeAware Bahrain,us,0.2.0,Khush420,1,risk of Privacy and location data misuse,"I like the app and concept 
but i have doubt regrading my privacy and its taking your ID number and mobile number for registration, so great risk of privacy and location data misuse by other government departments"," risk of Privacy and location data misuse I like the app and concept 
but i have doubt regrading my privacy and its taking your ID number and mobile number for registration  so great risk of privacy and location data misuse by other government departments ",en, risk of Privacy and location data misuse I like the app and concept  but i have doubt regrading my privacy and its taking your ID number and mobile number for registration  so great risk of privacy and location data misuse by other government departments ,"Domain_Specific, Privacy","data, locat, privaci, locat, regrad",0.2,Positive,0,,1,0,,0,0,1,0
60,31/03/2020 16:47,1501478858,BeAware Bahrain,us,0.2.0,Salman jamal,5,البحرين,في العالي ولاانطفى نورك 🇧🇭,Bahrain is high and your light is not turned off 🇧🇭,ar,Bahrain is high and your light is not turned off   ,Location,bahrain,0.25,Neutral,0,,0,0,,0,1,0,0
62,31/03/2020 16:08,1501478858,BeAware Bahrain,bh,0.2.0,Cuddlerobot,5,Very good,This app Is very Good for Coronavirus in Bahrain If your in Bahrain just download this, Very good This app Is very Good for Coronavirus in Bahrain If your in Bahrain just download this ,en, Very good This app Is very Good for Coronavirus in Bahrain If your in Bahrain just download this ,Location,bahrain,0.111111111,Positive,0,,0,0,,0,1,0,0
68,30/03/2020 12:02,1501478858,BeAware Bahrain,us,0.2.0,MeEmS_727,5,كلنا فريق البحرين,قواكم الله يا حكومة البحرين عساكم ذخر لنا ♥️🇧🇭,We are all the team of Bahrain. May God’s strengths  oh government of Bahrain. May your wealth for us ♥,ar,We are all the team of Bahrain  May God s strengths  oh government of Bahrain  May your wealth for us  ,Location,bahrain,0.090909091,Positive,0,,0,0,,0,1,0,0
70,30/03/2020 9:55,1501478858,BeAware Bahrain,us,0.2.0,Ali Arab,1,Unable to Activate App,Unable to activate app. Never received OTP. Tried several times and had to pull back., Unable to Activate App Unable to activate app. Never received OTP. Tried several times and had to pull back. ,en, Unable to Activate App Unable to activate app  Never received OTP  Tried several times and had to pull back  ,Domain_Specific,receiv,0.071428571,Neutral,0,,1,0,,0,0,0,0
