,Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
25,6/9/20 6:11,1503717224,Stopp Corona,at,1.2.1,oznr.a,3,Schlecht durchgesetzt,"Ansich eine gute Idee, das Programm ist auch sehr einfach und überlegt gestaltet. Jedoch sind so wenige Nutzer (höchstwahrscheinlich weil so viele skeptisch sind gegen diese App oder weil man im 21. Jahrhundert seine Daten lieber an Facebook gibt als an eine Gesundheitsorganisation) dass es sich nicht auszahlt und auch nicht wirklich durchsetzt. Ich bin zwei Wochen mit der App rumgelaufen und keinen einzigen Eintrag gehabt. Zumal die Zeitvoraussetzung mit 15 Minuten etwas undurchdacht ist im Bezug zum Sinn und Zweck dieser App. Willkommen in Österreich.",Badly enforced A good idea in itself  the program is also very simple and well-designed. However  so few users (most likely because so many are skeptical of this app or because in the 21st century people would rather give their data to Facebook than to a health organization) that it doesn't pay off and it doesn't really catch on. I ran around with the app for two weeks and didn't have a single entry. Especially since the time requirement of 15 minutes is a bit ill-considered in relation to the purpose of this app. Welcome to Austria.,de,Badly enforced A good idea in itself  the program is also very simple and well designed  However  so few users  most likely because so many are skeptical of this app or because in the   st century people would rather give their data to Facebook than to a health organization  that it doesn t pay off and it doesn t really catch on  I ran around with the app for two weeks and didn t have a single entry  Especially since the time requirement of    minutes is a bit ill considered in relation to the purpose of this app  Welcome to Austria ,"Location, Privacy, Socio_economic_Status","pay, austria, data",0.058823529,Negative,0,,0,0,0,0,1,1,1
35,5/31/20 7:48,1503717224,Stopp Corona,at,,juliasch90,1,Funktioniert nicht,"Mein Vater, mein Bruder und ich haben das gleiche Handy und das gleiche Betriebssystem. Trotz längeren Zusammensitzens wurden keine Handshakes gespeichert. Ich deinstalliere die App wieder.",Doesn't work My father  brother and I have the same cell phone and operating system. Despite sitting together for a long time  no handshakes were saved. I am uninstalling the app again.,de,Doesn t work My father  brother and I have the same cell phone and operating system  Despite sitting together for a long time  no handshakes were saved  I am uninstalling the app again ,Domain_Specific,"brother, father",0.125,Positive,0,,1,0,0,0,0,0,0
38,5/27/20 7:13,1503717224,Stopp Corona,at,1.2.1,Th-weber,1,Automatischer Handshake funktioniert nicht,"Einige Male getestet, 2 Handies fast 30 Minuten nebeneinander liegen lassen  mit aktivem automatischen Handshake. Danach wurde keiner angezeigt. Komplett sinnlos!",Automatic handshake does not work Tested several times  leave 2 mobile phones next to each other for almost 30 minutes with active automatic handshake. After that none was displayed. Completely pointless!,de,Automatic handshake does not work Tested several times  leave   mobile phones next to each other for almost    minutes with active automatic handshake  After that none was displayed  Completely pointless ,Domain_Specific,display,0.05,Positive,0,,1,0,0,0,0,0,0
41,5/26/20 7:58,1503717224,Stopp Corona,at,1.2.1,El Ratòn,1,"Gute Idee, ganz schlecht gemacht - Schade drum!","Grundsätzlich ist es eine gute Idee, Infektionsketten digital zu identifizieren und zu unterbrechen.
Leider funktioniert auch nach dem Update der automatische Handshake nicht, obwohl die Funktion als aktiviert angezeigt wird.
Der manuelle Handshake ist im Alltag leider nicht hilfreich, denn wer wird schon im Supermarkt an der Kasse seinen Hintermann, der ihm soeben in den Nacken gehustet hat, ansprechen, um den unerwünschten Kontakt auch noch durch ein Gespräch und einen manuellen Handshake zu vertiefen? Niemand!
Außerdem nervt das Abfragen der „Symptome“ und die ewig gleichen „Ermahnungen“ bei jedem Anklicken der App.
Deshalb von mir nur 2 Sterne für die eigentlich gute Idee!

Nachtrag vom 26.05.20:
Trotz Upgrade auf IOS 13.5 funktioniert der automatische Handshake noch immer nicht! Außerdem nutzt offenbar kaum jemand die App, denn auch mit manuellen gestartetem Handshake wurde mir bisher während ca. 6 Wochen Nutzungsdauer lediglich ein einziger Kontakt angezeigt, nämlich das Handy meines Mannes beim Testen der App ... Schade! Unter diesen Umständen leider nutzlos!","Good idea  badly done - what a shame! It is generally a good idea to digitally identify and interrupt chains of infection.
Unfortunately  the automatic handshake does not work even after the update  although the function is displayed as activated.
The manual handshake is unfortunately not helpful in everyday life  because who will speak to the man behind at the checkout in the supermarket  who has just coughed in the neck  in order to deepen the undesired contact through a conversation and a manual handshake? Nobody!
In addition  asking for the “symptoms” and the same “warnings” every time you click on the app is annoying.
Therefore only 2 stars from me for the actually good idea!

Addendum from 05/26/20:
Despite the upgrade to IOS 13.5  the automatic handshake still does not work! In addition  hardly anyone uses the app  because even with a manually started handshake  only one contact was shown to me during about 6 weeks of use  namely my husband's cell phone when testing the app ... What a shame! Unfortunately useless under these circumstances!",de,Good idea  badly done   what a shame  It is generally a good idea to digitally identify and interrupt chains of infection  Unfortunately  the automatic handshake does not work even after the update  although the function is displayed as activated  The manual handshake is unfortunately not helpful in everyday life  because who will speak to the man behind at the checkout in the supermarket  who has just coughed in the neck  in order to deepen the undesired contact through a conversation and a manual handshake  Nobody  In addition  asking for the  symptoms  and the same  warnings  every time you click on the app is annoying  Therefore only   stars from me for the actually good idea   Addendum from           Despite the upgrade to IOS       the automatic handshake still does not work  In addition  hardly anyone uses the app  because even with a manually started handshake  only one contact was shown to me during about   weeks of use  namely my husband s cell phone when testing the app     What a shame  Unfortunately useless under these circumstances ,"Domain_Specific, Emotional, Gender","man, annoy, identifi, display, order",0.051546392,Negative,0,,1,1,1,0,0,0,0
43,5/24/20 14:40,1503717224,Stopp Corona,at,1.2.1,Fabian Zwicklhuber,4,Berechtigung für Mikrofon,"Echt coole und auch wichtige App, gerade in der modernen Zeit von Behörden und öffentlichen Stellen die Smartphones so intelligent zu nutzen.

Aber Zugriff auf Mikrofon um über Ultraschall andere Handys zu orten, mag funktionieren oder nicht, will ich auch nicht drüber urteilen, bin kein Experte und meine Meinung ist auch irrelevant wenn es um so ein wichtiges Thema wie das Covid-19 geht, aber das kann einige Nutzer abschrecken und vor allem abhalten die App zu nutzen, was ja gerade wichtig wäre, denn umso mehr Bürger die App nutzen desto besser funktioniert sie auch. 
Daher wäre es auch wichtig öffentlich Werbung dafür zu machen und auch die „Angst“ zu nehmen, man würde abgehört werden.

Was auch noch hilfreich wäre, wenn die App mit dem Apple Covid-19 Kontaktprotokoll zusammen arbeiten würde, was mit dem Update 13.5 gekommen ist.","Authorization for microphone Really cool and also important app  especially in modern times for authorities and public bodies to use smartphones so intelligently.

But access to the microphone to locate other cell phones via ultrasound may or may not work  I don't want to judge it either  I'm not an expert and my opinion is irrelevant when it comes to an important topic like Covid-19  but it can deter some users and  above all  discourage them from using the app  which would be important  because the more citizens use the app  the better it works.
It would therefore be important to advertise it publicly and also to take away the ""fear"" that someone would be bugged.

Which would also be helpful if the app would work with the Apple Covid-19 contact protocol  which came with the 13.5 update.",de,Authorization for microphone Really cool and also important app  especially in modern times for authorities and public bodies to use smartphones so intelligently   But access to the microphone to locate other cell phones via ultrasound may or may not work  I don t want to judge it either  I m not an expert and my opinion is irrelevant when it comes to an important topic like Covid     but it can deter some users and  above all  discourage them from using the app  which would be important  because the more citizens use the app  the better it works  It would therefore be important to advertise it publicly and also to take away the  fear  that someone would be bugged   Which would also be helpful if the app would work with the Apple Covid    contact protocol  which came with the      update ,"Domain_Specific, Emotional, Privacy","fear, locat, author, judg, locat, import, author",0.093333333,Positive,0,,1,1,0,0,0,1,0
45,5/24/20 12:35,1503717224,Stopp Corona,at,1.2.1,Stay_Tuned_,1,Unbrauchbar . . .,"Wie kann es sein, dass seit Monaten an einer NICHT funktionierenden App „rum gebastelt“ wird? Wann löst ihr endlich grundlegende Probleme? Denkt darüber nach das Projekt zu beenden und löscht den „Schrott“ wieder . . . .","Useless. . . How can it be that a non-working app has been ""tinkering"" with for months? When will you finally solve basic problems? Think about ending the project and delete the ""junk"" again. . . .",de,Useless      How can it be that a non working app has been  tinkering  with for months  When will you finally solve basic problems  Think about ending the project and delete the  junk  again       ,Domain_Specific,tinker,0.066666667,Negative,0,,1,0,0,0,0,0,0
48,5/23/20 12:27,1503717224,Stopp Corona,at,1.2.1,Bmloidl,1,Unpraktisch,"Man muss erst einmal in den manuellen handshake gehen und akzeptieren 

Automatik Mode funktioniert nicht am iPhone 

Apple und Google Schnittstelle nicht implementiert 

App wird nur im Zwergenstadt Österreich verwendet 

Es gibt natürlich auch technische Limits - wenn bei den 2m Abstand eine Wand oder Plexuglas dazwischen ist wird es auch als Kontakt registriert 

Die Idee ist gut - die Implementierung schlecht
Kein Helpdesk und schlechtes Marketing","Impractical You first have to go into the manual handshake and accept

Automatic mode does not work on the iPhone

Apple and Google interface not implemented

App is only used in the dwarf city of Austria

There are of course also technical limits - if there is a wall or plexiglass in between at the 2m distance  it is also registered as a contact

The idea is good - the implementation is bad
No help desk and bad marketing",de,Impractical You first have to go into the manual handshake and accept  Automatic mode does not work on the iPhone  Apple and Google interface not implemented  App is only used in the dwarf city of Austria  There are of course also technical limits   if there is a wall or plexiglass in between at the  m distance  it is also registered as a contact  The idea is good   the implementation is bad No help desk and bad marketing,"Location, Socio_economic_Status","technic, austria",0.051282051,Negative,0,,0,0,0,0,1,0,1
52,5/22/20 8:16,1503717224,Stopp Corona,at,1.2.1,Emmental17,2,Warten auf das Update mit dem der Handshake funktioniert,"Gute Sache im Prinzip, aber leider erst nützlich wenn Handshake im Hintergrund automatisch klappt. Derzeit leider noch unnütz. 

App ist schon Open source. 

Die App wird nicht zur Überwachung (big brother...) taugen und sollte in Zukunft eine Regierung an die Macht gelangen die uns per App überwachen möchte dann braucht sie keine Vorarbeit durch Stopp Corona App sondern kann das ohne Open source und Datenschutz in 1 Monat programmieren lassen. 

Empfehlung: jetzt laden um die App sofort nützen zu können sobald sie funktioniert.","Waiting for the update with which the handshake works. Good thing in principle  but unfortunately only useful if the handshake works automatically in the background. Unfortunately still useless at the moment.

The app is already open source.

The app will not be suitable for monitoring (big brother ...) and should a government come to power in the future that would like to monitor us via the app  then it does not need any preparatory work by Stop Corona App but can do that without open source and data protection in 1 month have it programmed.

Recommendation: download now to be able to use the app immediately as soon as it works.",de,Waiting for the update with which the handshake works  Good thing in principle  but unfortunately only useful if the handshake works automatically in the background  Unfortunately still useless at the moment   The app is already open source   The app will not be suitable for monitoring  big brother      and should a government come to power in the future that would like to monitor us via the app  then it does not need any preparatory work by Stop Corona App but can do that without open source and data protection in   month have it programmed   Recommendation  download now to be able to use the app immediately as soon as it works ,"Domain_Specific, Privacy","data, protect, brother",0.05,Negative,0,,1,0,0,0,0,1,0
54,5/21/20 11:15,1503717224,Stopp Corona,at,1.2.1,Banana1170,4,Gute App,Aber ab wann wird IOS 13.5 mi Corona Datenaufzeichnung unterstützt?,Good app But when will IOS 13.5 mi Corona data recording be supported?,de,Good app But when will IOS      mi Corona data recording be supported ,"Domain_Specific, Privacy","data, record",0.25,Positive,0,,1,0,0,0,0,1,0
56,5/20/20 19:33,1503717224,Stopp Corona,at,1.2.1,yolexo,1,Keine Anbindung an Standard von Apple/Google,"Leider ist die App nicht an den Standard von Apple und Google angebunden, damit ist sie unsicherer und weniger effektiv.",No connection to Apple / Google standards Unfortunately  the app is not connected to the Apple and Google standards  which makes it less secure and less effective.,de,No connection to Apple   Google standards Unfortunately  the app is not connected to the Apple and Google standards  which makes it less secure and less effective ,Privacy,"secur, secur",0.133333333,Positive,0,,0,0,0,0,0,1,0
61,5/16/20 10:57,1503717224,Stopp Corona,at,1.2.1,gigi8210,1,Datenkrake,"Datenkrake von der Regierung.
❗️❗️❗️nicht installieren❗️❗️❗️","Data Octopus Government Data Octopus.
""Do not install""",de,Data Octopus Government Data Octopus   Do not install ,Privacy,data,0.166666667,Neutral,0,,0,0,0,0,0,1,0
66,5/11/20 6:44,1503717224,Stopp Corona,at,1.1.4,Mirfuss,2,Gute Idee,"Autom. Handshake funktioniert nicht. Habe gelesen, daß der erst nach 15‘ aktiviert wird. Aber selbst nach dieser absurd langen Zeit keine Reaktion. Was haben die Kritiker für eine Version? Die vorliegende braucht jedenfalls niemanden aufzuregen, da sinnlos und wieder gelöscht.",Good idea Auto handshake does not work. I read that it is only activated after 15 ‘. But even after this absurdly long time there was no reaction. What kind of version do the critics have? In any case  this one does not need to upset anyone  since it is pointless and deleted again.,de,Good idea Auto handshake does not work  I read that it is only activated after       But even after this absurdly long time there was no reaction  What kind of version do the critics have  In any case  this one does not need to upset anyone  since it is pointless and deleted again ,"Domain_Specific, Emotional","upset, critic",0.074074074,Negative,0,,1,1,0,0,0,0,0
71,5/6/20 17:32,1503717224,Stopp Corona,at,1.1.4,Handfuß,2,Ein Scherz ?,"Grundsätzlich ist die Idee gut. Die Ausführung macht so keinen Sinn. Die reagiert auch bei 100 Leuten nicht. Auch wenn es eilt, sowas kann man nicht freigeben. Nicht wegen der Daten und dem Mikro, sondern weil einfach gar nix passiert.
Schade. Ich werde es löschen müssen.","A joke ? Basically the idea is good. The execution makes no sense. It doesn't react even with 100 people. Even if it is urgent  something cannot be approved. Not because of the data and the microphone  but because nothing happens.
Too bad. I'll have to delete it.",de,A joke   Basically the idea is good  The execution makes no sense  It doesn t react even with     people  Even if it is urgent  something cannot be approved  Not because of the data and the microphone  but because nothing happens  Too bad  I ll have to delete it ,"Domain_Specific, Privacy","data, approv, execut",0.136363636,Positive,0,,1,0,0,0,0,1,0
73,5/6/20 8:23,1503717224,Stopp Corona,at,1.1.4,Groosserchef,1,Automatischer Handshake funktioniert nicht,"Finde es grundsätzlich gut, dass das rote Kreuz auch mit dieser App zur Eindämmung von Corona beitragen will.
Leider funktioniert die App überhaupt nicht wie beworben. Der automatische Handshake ist (zumindest von iPhone zu iPhone) nicht funktionstüchtig. Haben das zu Hause getestet, und innerhalb der letzten zwei Wochen hat zwischen unseren Handys kein Handshake stattgefunden. Wieso führt ihr ein Feature ein, dass nicht funktioniert und somit den Benutzer in vermeintlicher Sicherheit wiegt, die eigentlich gar nicht existiert?
Ich hoffe, dass hier in Zukunft auf die Lösungen, die von Apple und Google angekündigt wurden gesetzt wird, sobald die verfügbar sind.","Automatic handshake does not work Generally speaking  it's good that the red cross also wants to help contain Corona with this app.
Unfortunately the app doesn't work as advertised at all. The automatic handshake does not work (at least from iPhone to iPhone). Tested this at home and there hasn't been a handshake between our phones in the past two weeks. Why are you introducing a feature that does not work and thus lulls the user into a supposed security that actually does not exist?
I hope that in the future the solutions announced by Apple and Google will be used as soon as they are available.",de,Automatic handshake does not work Generally speaking  it s good that the red cross also wants to help contain Corona with this app  Unfortunately the app doesn t work as advertised at all  The automatic handshake does not work  at least from iPhone to iPhone   Tested this at home and there hasn t been a handshake between our phones in the past two weeks  Why are you introducing a feature that does not work and thus lulls the user into a supposed security that actually does not exist  I hope that in the future the solutions announced by Apple and Google will be used as soon as they are available ,"Domain_Specific, Privacy","secur, secur, announc",0.054545455,Positive,0,,1,0,0,0,0,1,0
75,5/5/20 5:57,1503717224,Stopp Corona,at,1.1.4,Thomas Fuer,5,Die beste Möglichkeit ohne weitere große Einschränkungen weiterzumachen,"Bei der JÖ-Karte, Amazon, Google, WhatsApp, SocialMedia-Seiten, am Smartphone uvm. geben die Leute für ein paar Cent Ersparnisse oder ein bisschen Unterhaltung alles von sich Preis. Und bei dieser App, die wirklich Sinn macht, entdecken viele auf einmal den Datenschützer in sich. Schade.",The best way to continue without major restrictions with the JÖ card  Amazon  Google  WhatsApp  social media pages  on the smartphone and much more. people give up for pennies of savings or a little entertainment. And with this app  which really makes sense  many suddenly discover the data protection officer in themselves. Too bad.,de,The best way to continue without major restrictions with the J  card  Amazon  Google  WhatsApp  social media pages  on the smartphone and much more  people give up for pennies of savings or a little entertainment  And with this app  which really makes sense  many suddenly discover the data protection officer in themselves  Too bad ,"Domain_Specific, Privacy","data, protect, entertain",0.088235294,Positive,0,,1,0,0,0,0,1,0
79,5/4/20 9:39,1503717224,Stopp Corona,at,1.1.4,-cb-,1,Gesundmeldung,"Wie melde ich mich wieder 'gesund'? 
Meine behördlich angeordnete 'Absonderung' wurde bereits mit 6. April bescheidmäßig aufgehoben. Das App schickt mich (und meine Kontakte?) immer noch in Quarantäne...","Notification of health How do I register 'well' again?
My officially ordered 'segregation' was revoked on April 6th. The app is still quarantining me (and my contacts?) ...",de,Notification of health How do I register  well  again  My officially ordered  segregation  was revoked on April  th  The app is still quarantining me  and my contacts      ,Domain_Specific,order,0.071428571,Positive,0,,1,0,0,0,0,0,0
80,5/2/20 8:05,1503717224,Stopp Corona,at,1.1.4,ManfredH83,5,"Erst informieren, dann bewerten","Dass es immer noch 1-Stern-Bewertungen wegen dem Mikrofon gibt, zeugt davon, dass viele nicht in der Lage sind, sich erstmal zu informieren.

Der Programmcode ist mittlerweile für alle einsehbar und wurde von verschiedenen Datenschutzorganisationen überprüft - ein Missbrauch von Daten ist nirgendwo erkennbar.

Dass der automatische Handshake im Hintergrund wegen iOS-Sicherheitsvorkehrungen nicht funktioniert ist ärgerlich, aber kann nur von Apple selbst geändert wird. Darauf wird auch 2x in der App hingewiesen.

Mit dem Gemeinschaftsprojekt zwischen Apple und Google wird es hier auch in absehbarer Zeit eine Lösung geben, bis dahin muss man halt manuell nachhelfen.","Inform first  then evaluate The fact that there are still 1-star ratings for the microphone shows that many are unable to find out more.

The program code is now available to everyone and has been checked by various data protection organizations - there is no evidence of any misuse of data.

The fact that the automatic handshake does not work in the background due to iOS security precautions is annoying  but can only be changed by Apple itself. This is also indicated twice in the app.

With the joint project between Apple and Google there will be a solution in the foreseeable future  until then you have to help manually.",de,Inform first  then evaluate The fact that there are still   star ratings for the microphone shows that many are unable to find out more   The program code is now available to everyone and has been checked by various data protection organizations   there is no evidence of any misuse of data   The fact that the automatic handshake does not work in the background due to iOS security precautions is annoying  but can only be changed by Apple itself  This is also indicated twice in the app   With the joint project between Apple and Google there will be a solution in the foreseeable future  until then you have to help manually ,"Emotional, Privacy","annoy, data, secur, protect, secur",0.096153846,Positive,0,,0,1,0,0,0,1,0
84,4/29/20 12:14,1503717224,Stopp Corona,at,1.1.4,Franzi58,1,Funktioniert nicht,"Die app findet mit digitalem handshake niemanden, auch wenn man mehrere Stunden nahe zusammenarbeitet gibt es keinen handshake. Alle Berechtigungen am iphone sind vergeben wie vorgesehen.",Does not work The app cannot find anyone with a digital handshake  even if you work together for several hours there is no handshake. All permissions on the iphone are assigned as intended.,de,Does not work The app cannot find anyone with a digital handshake  even if you work together for several hours there is no handshake  All permissions on the iphone are assigned as intended ,Domain_Specific,assign,0.058823529,Negative,0,,1,0,0,0,0,0,0
91,4/27/20 21:00,1503717224,Stopp Corona,at,1.1.4,ghilhtdvh,2,Nur für österreichische Accounts verfügbar,"Für meinen Mitbewohner mit deutschem Playstore Account ist die App nicht verfügbar. Bitte ändern!!!!!!!!!

Und scheinbar funktioniert die auto-Handshake Funktion leider noch nicht.... Habe in 3 Wochen noch keinen einzigen Handshake.

Ansonsten gute Idee! Bitte weiterentwickeln und vor allem bewerben ;)","Only available for Austrian accounts. The app is not available for my roommate with a German Playstore account. Please modify!!!!!!!!!

And apparently the auto-handshake function doesn't work yet .... I haven't had a single handshake in 3 weeks.

Otherwise a good idea! Please develop and  above all  apply;)",de,Only available for Austrian accounts  The app is not available for my roommate with a German Playstore account  Please modify           And apparently the auto handshake function doesn t work yet      I haven t had a single handshake in   weeks   Otherwise a good idea  Please develop and  above all  apply  ,"Domain_Specific, Language","german, account",0.071428571,Positive,0,,1,0,0,1,0,0,0
93,4/27/20 8:35,1503717224,Stopp Corona,at,1.1.4,98179,5,Es erfordert Mut..,"...mit dem Nachbarn über die positiven Seiten der App zu reden, dem Teenager dies klarmachen zu wollen oder dem Friseur abzusagen weil er nicht den  handshake in der App durchführen möchte.
Bist du stark genug?","It takes courage ... ... to talk to the neighbors about the positive aspects of the app  to make this clear to the teenager or to cancel the hairdresser because he does not want to do the handshake in the app.
Are you strong enough",de,It takes courage         to talk to the neighbors about the positive aspects of the app  to make this clear to the teenager or to cancel the hairdresser because he does not want to do the handshake in the app  Are you strong enough,Domain_Specific,hairdress,0.052631579,Positive,0,,1,0,0,0,0,0,0
