Review,Rating,Translation,,Age,Disability,Emotional,Gender,Language,Location,Privacy,Socioeconomic,Miscellaneous,,Bug Report,Feature request,User Experience,Other
"-Ich bin kein Freund von einer staatlichen Überwachungsapp - Die Kosten für die Entwicklung / Support der App sind ein Skandal - Dass nur ein Bruchteil der Smartphone User diese App nutzen kann (selbst auf einem Samsung S5 läuft sie nicht!) ist der 2. Skandal! Trotzdem HATTE ich diese App bis jetzt drauf! Die feine Regierung hat uns eine Nicht FUNKTIONIERENDE App untergeschoben ( keine richtige Samsung /Huawei Unterstützung) DAS IST DER 3. SKANDAL, DAS REICHT! DIE APP IST JETZT WEG!!",1,-I'm no friend of a government monitoring app - The costs for the development / support of the app are a scandal - The fact that only a fraction of smartphone users can use this app (it doesn't even run on a Samsung S5!) Is the second scandal ! Nevertheless I HAD this app on it until now! The fine government slipped us a DON'T WORKING app (no real Samsung / Huawei support) THAT'S THE 3rd SCANDAL THAT'S ENOUGH! THE APP IS GONE NOW !!,,,,,,,,1,1,,,,,,1
"Ich habe kein Problem mit dem Datenschutz, ich werde die App aber wahrscheinlich trotzdem nicht einrichten weil ich gehört habe das Bluetooth angreifbar ist und über Bluetooth auch schadsoftware installiert werden kann. Gerade ältere Geräte dürften davon betroffen sein und die gibt es wie Sand am Meer. Leider wird dies in den Medien nicht thematisiert. __",1,I don't have a problem with data protection  but I probably won't set up the app anyway because I've heard that Bluetooth is vulnerable and that malware can also be installed via Bluetooth. Older devices in particular are likely to be affected and they are a dime a dozen. Unfortunately this is not addressed in the media. __,,,,,,,,1,1,,,,,1,
"BITTE ändert die Push-Benachrichtigung, wenn man ausversehen die Standortermittlung deaktiviert. Ich bekam ein Schrecken bei der Mitteilung: ""Benachrichtigung zur möglichen Begegnung mit COVID-19-Infizierten""",4,"PLEASE change the push notification if you accidentally deactivate location detection. I got a shock when the message: ""Notification of possible encounter with COVID-19 infected people""",,,,,,,1,,,,,,1,,
"Was ein Schrott. Ist man in einem gemeinsamen Europa nicht in der Lage, zentral eine multilinguale Version zu entwickeln? Brauche ich jetzt für jedes Land eine App? Nö dann lieber ohne.",1,What a junk. Is it not possible in a common Europe to develop a multilingual version centrally? Do I now need an app for each country? Nope then rather without.,,,,,,1,,,,,,,,,1
"Einfach, schnell zu bedienen und ohne viele Daten Preis zu geben. Einfach Bluetooth an und fertig. Und nebenbei, jeder der Facebook, Google Maps und co. benutzt brauch hier gar nicht erst mit Datenschutzbedenken ankommen.",5,Simple  quick to use and without revealing a lot of data. Simply turn on Bluetooth and you're done. And by the way  everyone on Facebook  Google Maps and co. used needn't even come up with data protection concerns.,,,,,,,,1,,,,,,1,
"Nur auf Englisch, schade!",4,Only in English  what a shame!,,,,,,1,,,,,,,,,1
"Auf einmal geht die Hauptfunktion Risikoerkennung nicht mehr. Angeblich inbes. bei bestimmten HandyMarken nicht. Kaum installiert (quasi mit allererster + neuer App im Playstore), dann schon ein Update und dann ist App unbrauchbar (Google API Fehler). ANGEBLICH sammelt App weiter Begegnungsdaten ... Da ist die Nähe zu Google doch eben großer Mist. Die Kooperation mit Google um Programmierzeit zu sparen, dient jetzt nur mehr dem Nutzen der Datenkrake als der Allgemeinheit. Zu deinstall.",1,Suddenly the main risk detection function no longer works. Allegedly inbes. not with certain cell phone brands. Hardly installed (almost with the very first + new app in the Playstore)  then an update and then the app is unusable (Google API error). Allegedly  the app continues to collect encounter data ... The proximity to Google is just big crap. The cooperation with Google to save programming time now only serves the benefit of the data octopus than the general public. To deinstall.,,,,,,,,1,,,,1,,,
"Reibungslose Installation, klare Struktur, etwas komplizierte Formulierungen. Es könnte klarer heraus gestellt werden, dass keine Kontakte, aka Einträge aus der Telefonliste des Handys genutzt oder übertragen werden und keine Standortdaten verwendet werden. Das System sollte einfach grafisch erläutert werden, um Bedenken der breiten Öffentlichkeit zu nehmen.",5,Smooth installation  clear structure  somewhat complicated formulations. It could be made clearer that no contacts  aka entries from the cell phone's phone list  are used or transferred and no location data is used. The system should be explained simply graphically to take away concerns of the general public.,,,,,,,,1,,,,,1,,
"Bin für die App und hört sich vom Datenschutz auch sinnvoll an. Leider geht mein WLAN nicht mehr wenn ich die App mit Bluetooth an hab... Für's erste mach ich Bluetooth aus wenn ich Zuhause in WLAN bin, wenn ich die App unterwegs an hab dann brauche ich auch kein Bluetooth.",4,I am for the app and it also makes sense in terms of data protection. Unfortunately  my WiFi no longer works when I have the app with Bluetooth on ... For now  I turn off Bluetooth when I'm at home in WiFi  if I have the app on when I'm on the go  then I don't need Bluetooth either.,,,,,,,,1,,,,,,1,
"Ich habe die App gerade wieder deinstalliert. Sie forderte mich auf, meine Standortabfrage zu aktivieren. Dadurch könnten ALLE anderen Apps, wie z.b. Google-Maps, auf meinen Standort zurückgreifen. Indirekt erfolgt über die App also doch ein Geo-Tracking. Für mich kommt die Warn-App daher nicht in Frage, denn ich möchte Google meine Geo-Daten definitiv nicht zur Verfügung stellen.",1,I just uninstalled the app again. She asked me to activate my location query. This could ALL other apps  such as Google Maps  use my location. Geo-tracking is done indirectly via the app. The warning app is therefore out of the question for me  because I definitely do not want to make my geo data available to Google.,,,,,,,,1,,,,,,,1
Doch irgendwie enttäuschend. Ständig kryptische Fehlermeldungen und keine Aktualisierung des Status da etwas falsch gelaufen ist. Das ist nicht sehr vertrauend erweckent.,2,But somehow disappointing. Constantly cryptic error messages and no update of the status because something went wrong. That is not very trusting.,,,,1,,,,,,,,1,,,
Bis jetzt super. Sehr einfache Einrichtung und man muss keine Daten eingeben. Das freut doch bestimmt alle Aluhutträger,5,So far  great. Very easy setup and no need to enter any data. Surely all aluminum hat wearers are happy about that,,,,,,,,1,,,,,,,1
"Wer diese App wegen Datenschutz kritisiert, der hat hoffentlich Datenschleudern wie WhatsApp, Facebook und Co. nicht installiert. Eigentlich sollten solche Menschen gar kein Smartphone nutzen! Es sind nun einmal Spione in der Hosentasche! Mit der Corona-Warn-App werden diese Funktionen sinnvoll genutzt um einen Virus an seiner Verbreitung zu hindern und Menschenleben zu retten.",5,If you criticize this app because of data protection  you have hopefully not installed data flickers such as WhatsApp  Facebook and Co. Actually  such people shouldn't use a smartphone at all! There are spies in your pocket! With the Corona warning app  these functions are used sensibly to prevent a virus from spreading and to save human lives.,,,,,,,,1,,,,,,,1
"Die Antworten des RKI sind wirklich amüsant.. doze ist bekannt.. komisch dass man es dann vergessen hatte und die app trotzdem schlafen gelegt wurde.. es soll ein fehler auf Android seite sein.. vielleicht sollte man mehr an der app arbeiten als auf Rezensionen zu antworten.... und nach wie vor frage ich wie naiv man sein muß, das die extra geschaffene Schnittstelle keine daten an google liefert..",1,The answers of the RKI are really amusing .. doze is well known .. funny that one then forgot and the app was put to sleep anyway .. there should be a bug on the Android side .. maybe you should work more on the app than on To answer reviews .... and I still ask how naive you have to be that the specially created interface does not provide any data to google ..,,,,,,,,1,,,,,,,1
"Sehr guter Schutz der Privatsphäre, kein Zugriff auf den Standort oder andere personenbezogene Daten.",5,Very good protection of privacy  no access to the location or other personal data.,,,,,,,,1,,,,,,,1
Die hinter der app ist super ob diese dann auch so funktioniert wie sie soll werden wie sehen. Für alle die sich sorgen machen diese App ist Open Source also muss man sich keine Sorgen machen wie und wo diese Daten genutzt werden da alles so weit wie möglich öffentlich ist. Falls jetzt doch jemand sich beschwere weil die App so böse ist guckt euch all eure anderen Apps mal an da achtet ihr nicht drauf.,5,The one behind the app is great  whether it works as it should  as you can see. For all of you who worry  this app is open source so you don't have to worry about how and where this data is used because everything is public as much as possible. If somebody complains now because the app is so nasty  take a look at all of your other apps because you don't pay attention.,,,,,,,,1,,,,,,1,
"Wenn ihr gratis eure Daten an den Staat geben wollt, gönnt euch.",1,If you want to give your data to the state for free  treat yourself.,,,,,,,,1,,,,,,,1
Bei mir funktioniert die App ganz gut aber ich werde sie solange wie dazu der GPS aktiviert sein muss nicht nutzen da Handys und generell Mobilgeräte kein GPS braucht um mit anderen Geräten zu kommunizieren - Oder macht ihr GPS an wenn ihr euch mit euren Kopfhörer verbinden wollt? - Wenn das Robert Koch Institut die App so programmiert dass man keine Standortermittlung mehr braucht lade ich sie mir wieder runter und aktiviere sie wieder.,3,The app works quite well for me  but I won't use it as long as the GPS has to be activated because cell phones and mobile devices in general don't need GPS to communicate with other devices - or do you turn on GPS when you want to connect to your headphones? - When the Robert Koch Institute programs the app in such a way that you no longer need to determine your location  I download it again and activate it again.,,,,,,,,1,,,,,,,1
"Lächerlich das bei Android das GPS eingeschaltet sein muss. Das wird wie mich, endlos viele Leute davon ab halten sie zu betreiben. Schade..",1,Ridiculous that the GPS has to be switched on with Android. Like me  this will keep people from doing it endlessly. What a shame..,,,,,,,,1,,,,,,,1
"Funktioniert nicht: ""Ursache 3, Fehler bei Kommunikation mit Google API 39508"" Steht immer auf 14 von 14 Tage, nichts ändert sich und die positiven Fälle hier in der Umgebung werden nicht in die App eingegeben, somit nicht nur fehlerhaft programmiert, sondern auch sinnlos! So kann man 63 Millionen natürlich auch verbrennen, nur traurig, dass wir Steuerzahler es letztendlich bezahlen müssen... :(",1,"Does not work: ""Cause 3  error in communication with Google API 39508"" Always stands at 14 out of 14 days  nothing changes and the positive cases in the area are not entered into the app  so not only incorrectly programmed  but also pointless ! You can of course burn 63 million that way  just sad that we taxpayers have to pay it in the end ... :(",,,,1,,,,,,,,1,,,
"Ich finde es super, dass man sich für die datenschutzfreundliche Variante entschieden hat. So spricht nichts gegen eine Verwendung. Jetzt wäre nur noch eine europäische App mit der gleichen Sicherheit wünschenswert.",5,I think it's great that they opted for the privacy-friendly version. So nothing speaks against its use. Now only a European app with the same security would be desirable.,,,,,,,,1,,,,,,,1
"Can confirm through the Android settings the app doesn't send anything to a central server unless you explicity allow it (Android reports 0 bytes sent over the network). And battery usage is reported as 0% even after the app has been running for 8 hours. Only complaint is the persistent notification, which I understand is required for technical reasons.",5,Can confirm through the Android settings the app doesn't send anything to a central server unless you explicity allow it (Android reports 0 bytes sent over the network). And battery usage is reported as 0% even after the app has been running for 8 hours. Only complaint is the persistent notification  which I understand is required for technical reasons.,,,,,,,,1,,,,,,1,
"This app has been looked at by independent app reviewers and found legitimate (Google it), so no need to put on your tinfoil hat that it is gathering any more info that it claims.",5,This app has been looked at by independent app reviewers and found legitimate (Google it)  so no need to put on your tinfoil hat that it is gathering any more info that it claims.,,,,,,,,1,,,,,,,1
I was all for this app but after learning our data will be stored in a foreign owned public cloud service hosted in a Chinese owned data centre. What was the department of home Affairs thinking,1,I was all for this app but after learning our data will be stored in a foreign owned public cloud service hosted in a Chinese owned data centre. What was the department of home Affairs thinking,,,,,,,,1,,,,,,,1
App requires location permission to be enabled. Battery drain and concerns about privacy.,1,App requires location permission to be enabled. Battery drain and concerns about privacy.,,,,,,,,1,,,,,,1,
"Make the app to be able to run with location services turned off, since it only uses bluetooth. Why does one's movements need to be tracked using location services? You can still use mobile tower connections and other users' bluetooth connections to trace movements and proximity to others. Just reduce the time it takes to confirm proximity to other users from 15 minutes to a shorter time period. I'm not going to be turning on location services for this App or any other App.",2,Make the app to be able to run with location services turned off  since it only uses bluetooth. Why does one's movements need to be tracked using location services? You can still use mobile tower connections and other users' bluetooth connections to trace movements and proximity to others. Just reduce the time it takes to confirm proximity to other users from 15 minutes to a shorter time period. I'm not going to be turning on location services for this App or any other App.,,,,,,,,1,,,,,1,,
"If you love and value your family, friends and health care workers download this app. If your worried about privacy, have you ever thought about how much information you give to foreign owned social media companies ie. Facebook etc. Do the right thing and download this app to fight this deadly virus. Put your insecurities behind about privacy and do your research of how this app can fight this virus and bring us to some kind of new normal.",5,If you love and value your family  friends and health care workers download this app. If your worried about privacy  have you ever thought about how much information you give to foreign owned social media companies ie. Facebook etc. Do the right thing and download this app to fight this deadly virus. Put your insecurities behind about privacy and do your research of how this app can fight this virus and bring us to some kind of new normal.,,,,,,,,1,,,,,,,1
"Easy easy. Easy to install, eazy to register. Other than that, it works by itself. Only need to keep phone on and bluetooth on. No uploads till you are requested to upload by health authority.",5,Easy easy. Easy to install  eazy to register. Other than that  it works by itself. Only need to keep phone on and bluetooth on. No uploads till you are requested to upload by health authority.,,,,,,,,1,,,,,,1,
Great idea however.... Left arm doesn't agree with right arm. Gov and health minister stated on the news it doesn't track your location. Guess what it does. Doesn't like you denying access to your location. Nothing to hide nothing to worry about however when it's lied that it doesn't track location and it does.... sorry man of Principe and be open and honest Mr Morrison. I've removed the app. Due to failure of transparency and your left arm has no idea what the right does with the app.,2,Great idea however.... Left arm doesn't agree with right arm. Gov and health minister stated on the news it doesn't track your location. Guess what it does. Doesn't like you denying access to your location. Nothing to hide nothing to worry about however when it's lied that it doesn't track location and it does.... sorry man of Principe and be open and honest Mr Morrison. I've removed the app. Due to failure of transparency and your left arm has no idea what the right does with the app.,,,,,,,,1,,,,,,,1
"Weird hole in the App... There is no option on my device (S20 5G) to allow access to location information at all times. Even though the app primarily uses Bluetooth for positioning, what if the app is closed? I advise keeping the app running in the background just in case and adding it to your app whitelist if you have automatic-app-closing activated on your device.",4,Weird hole in the App... There is no option on my device (S20 5G) to allow access to location information at all times. Even though the app primarily uses Bluetooth for positioning  what if the app is closed? I advise keeping the app running in the background just in case and adding it to your app whitelist if you have automatic-app-closing activated on your device.,,,,,,,,1,,,,,1,,
"A lot of talk about privacy but if you use any social media apps no matter the security settings all the information is stored somewhere on a server, So unless you have none of these apps then argument over privacy is point less. Very fast to install and register not only to help others but also to help yourself faster if you come into contact with asystematic person, Just remember the huge work to trace the Ruby Princess passengers if they had this it would have limit the spread much faster.",5,A lot of talk about privacy but if you use any social media apps no matter the security settings all the information is stored somewhere on a server  So unless you have none of these apps then argument over privacy is point less. Very fast to install and register not only to help others but also to help yourself faster if you come into contact with asystematic person  Just remember the huge work to trace the Ruby Princess passengers if they had this it would have limit the spread much faster.,,,,,,,,1,,,,,,1,
"Suddenly this app needs location switched on. Don't mind giving location permission, but not going to leave the phone GPS on permanently. Contacted support and they were rude. Another fed gov IT failure",1,Suddenly this app needs location switched on. Don't mind giving location permission  but not going to leave the phone GPS on permanently. Contacted support and they were rude. Another fed gov IT failure,,,,,,,,1,,,,,,,1
Don't download!! This is a government attempt at spying on Australian citizens phone data by creating a backdoor.,1,Don't download!! This is a government attempt at spying on Australian citizens phone data by creating a backdoor.,,,,,,,,1,,,,,,,1
"After analyzing this app This app uses 2 separate GPS location requests also pulls wifi access point locations and verify them with the GPS requests to determine direct GPS coordinates Pics and proof can be provided Weres the source code you said you would release last week? , do not install this goverment sponsored Spyware, they will not release the source code wonder why , don't buy the media hysteria, have fun when scomo and LNP sells your data to medical and insurance company's ,",1,After analyzing this app This app uses 2 separate GPS location requests also pulls wifi access point locations and verify them with the GPS requests to determine direct GPS coordinates Pics and proof can be provided Weres the source code you said you would release last week?   do not install this goverment sponsored Spyware  they will not release the source code wonder why   don't buy the media hysteria  have fun when scomo and LNP sells your data to medical and insurance company's,,,,,,,,1,,,,,,1,
"You're experience setting this up may vary, your trust in government might not be great, but please, please, install this life saving app (and don't rate it 1 star like a right tard)",5,You're experience setting this up may vary  your trust in government might not be great  but please  please  install this life saving app (and don't rate it 1 star like a right tard),,,,,,,,1,,,,,,,1
"I live in Australia for 14 years, and last year went abroad and changed my account residential country, but now back in Australia since December I can't download the app because is not available for account out of Australia. What can be done and how many others might be on the same situation? Thanks",1,I live in Australia for 14 years  and last year went abroad and changed my account residential country  but now back in Australia since December I can't download the app because is not available for account out of Australia. What can be done and how many others might be on the same situation? Thanks,,,,,,,1,,,,,1,,,
I downloaded the app when it first came out but as yet I do not think I have registered my details... I am in the elderly brackets after all so technology is challenging for me! As of now Monday April 4th I have REGISTERED. Thank you all for the very good work you are doing to help protect us and keep us safe. And darling make sure you each look after YOU. Well done EVERYONE...xcxcxc just for YOU N YOURS ... Keep SAFE PRACTISE social distancing but do have some FUN too...love ya babes!,5,I downloaded the app when it first came out but as yet I do not think I have registered my details... I am in the elderly brackets after all so technology is challenging for me! As of now Monday April 4th I have REGISTERED. Thank you all for the very good work you are doing to help protect us and keep us safe. And darling make sure you each look after YOU. Well done EVERYONE...xcxcxc just for YOU N YOURS ... Keep SAFE PRACTISE social distancing but do have some FUN too...love ya babes!,,1,,,,,,,,,,,,,1
Invalid phone number... And I'm not the only one.. so how do you trust an app they can't even get right,1,Invalid phone number... And I'm not the only one.. so how do you trust an app they can't even get right,,,,,,,,1,,,,1,,,
"Worked straight away, registration process worked even before 6pm on 26/04/20. Endorsed by Medical professionals, doesn't use GPS, the protection to myself from others who may get sick and having an early warning for contact tracing weighs heavily for my favour than big brother paranoia.",5,Worked straight away  registration process worked even before 6pm on 26/04/20. Endorsed by Medical professionals  doesn't use GPS  the protection to myself from others who may get sick and having an early warning for contact tracing weighs heavily for my favour than big brother paranoia.,,,,,,,,1,,,,,,1,
"This app looks very well thought out and the data collection is retained on your phone with a 21 day rolling deletion can only be shared with health officials by you. From a privacy standpoint, Google and Facebook will have far more of your private information than the Government will ever get from this app.",5,This app looks very well thought out and the data collection is retained on your phone with a 21 day rolling deletion can only be shared with health officials by you. From a privacy standpoint  Google and Facebook will have far more of your private information than the Government will ever get from this app.,,,,,,,,1,,,,,,1,
This application is totally nonsense. How can you ask access to people phone gallery. You guys should fix this.,1,This application is totally nonsense. How can you ask access to people phone gallery. You guys should fix this.,,,,,,,,1,,,,,,1,
Why does this app have to acess my privacy.... it only needs my health status wc the hospitals hv nt my files on the phone... we nolonger have privacy,1,Why does this app have to acess my privacy.... it only needs my health status wc the hospitals hv nt my files on the phone... we nolonger have privacy,,,,,,,,1,,,,,,,1
"How on-arrival or businesses visa people go out with this App, when I register there is no option to enter passport number or visa number, any idea?",3,How on-arrival or businesses visa people go out with this App  when I register there is no option to enter passport number or visa number  any idea?,,,,,,,1,,,,,,1,,
Always getting notification : Ehteraz need location to be enabled . Although I checked all permissions are enabled. Not sure if it's correctly working.,3,Always getting notification : Ehteraz need location to be enabled . Although I checked all permissions are enabled. Not sure if it's correctly working.,,,,,,,,1,,,,1,,,
I cant use this app. I am on business visa. I dont have Qatar ID. How can use this without id?,2,I cant use this app. I am on business visa. I dont have Qatar ID. How can use this without id?,,,,,,,1,,,,,,,1,
_____ _____ ___ ____ ____ ______ ___ _____ ______ __ ____ _______ _ ___ ______ ____ ____ _____,5,Frankly  it is a good application  but there is a note why a working application that manages calls and phone pictures means strange work,,,,,,,,1,,,,,,,1
"The app is not working on iphone 6 or lower , its needs update version 13 which is not applicable in iphone 6 anymore, what should I do? The app should be more practical to include all types of mobiles old and new.",1,The app is not working on iphone 6 or lower   its needs update version 13 which is not applicable in iphone 6 anymore  what should I do? The app should be more practical to include all types of mobiles old and new.,,,,,,,,,1,,,,1,,
"Why do they need my storage and files access? Once when I deny access to storage app closes, which means I'm obligatory to give them access to my files in order to run the app. I would love to hear reason for invading our privacy!",1,Why do they need my storage and files access? Once when I deny access to storage app closes  which means I'm obligatory to give them access to my files in order to run the app. I would love to hear reason for invading our privacy!,,,,,,,,1,,,,,,,1
"I don't have QID , I have business visa how I use this application",5,I don't have QID   I have business visa how I use this application,,,,,,,1,,,,,,,,1
Why it's asking or why need to access my device personal data file and want to manage my calls and messages. What's rubbish?,1,Why it's asking or why need to access my device personal data file and want to manage my calls and messages. What's rubbish?,,,,,,,,1,,,,,,,1
Privacy first! (Disclaimer: I'm developer of this app),5,Privacy first! (Disclaimer: I'm developer of this app),,,,,,,,1,,,,,,,1
"Uvádíte, _e aplikace neukládá polohu. Pro_ nelze aplikaci aktivovat bez povolení k p_ístupu pozice za_ízení?",1,You indicate that the application does not save the location. Why can't I activate the application without permission to access the device position?,,,,,,,,1,,,,,,1,
"Skv_l_ nápad. Te_ je_t_ aby to lidi pou_ívali. Akorát Google (v_vojá_i eRou_ky jsou v tom nevinn_) by zaslou_il za to, _e pro vyu_ívání bluetooth na pozadí vy_aduje zapnutí lokaliza_ních slu_eb.",5,Great idea. Now for people to use it. Just Google (the developers of eRou_ka are innocent in this) would deserve to be required to turn on location services to use bluetooth in the background.,,,,,,,,1,,,,,,,1
"Pou_ívám u_ del_í dobu a nenarazil jsem na problém, aplikace je nenápadná, vliv na baterii zanedbateln_. Pozitivn_ hodnotím p_ístup k soukromí, tedy v_e pouze lokáln_, pr_b__n_ se m_nící ID atd.",5,I have been using it for a long time and I have not encountered a problem  the application is inconspicuous  the effect on the battery is negligible. They positively evaluate the approach to privacy  ie everything only locally  constantly changing ID  etc.,,,,,,,,1,,,,,,1,
"It is good, but how it is possible if you out of czechia and change your region and not be able to download something equally for the other country. That should be not happen in the EU and is for me just another example how the EU works for the people living in it.",5,It is good  but how it is possible if you out of czechia and change your region and not be able to download something equally for the other country. That should be not happen in the EU and is for me just another example how the EU works for the people living in it.,,,,,,,1,,,,,,,1,
"_patn_ zabezpe_eno, chybí _ifrování, pouze sb_r dat.",1,Poorly secured  no encryption  only data collection.,,,,,,,,1,,,,,,,1
