Title,Review,Rating,Translation,,Age,Disability,Emotional,Gender,Language,Location,Socioeconomic,Privacy,Miscellaneous,,Bug Report,Feature Request,User Experience,Other
_______________,__________Bluetooth_______________________________________________________________________________________________________________________________________...,5,It should have been better than not. It was easy by inserting the app and enabling Bluetooth and notifications. There was no setting of location information or personal information. It doesn't make sense unless everyone does it  and I'm not sure how effective it is  but I think it's better than not having an app. I hope that you can prevent the spread of infection and live a life that does not care about corona quickly ...,,,,,,,,,1,,,,,,1
keine Jugendfreigabe hat ?????!,"Kann mir mal einer erklären  warum die App keine Jugendfreigabe hat ?????! So wird es nichts mit der angestrebten 60% Nutzungsquote, wenn wichtige Nutzer an der Nutzung ausgeschlossen werden. Bitte schnell ändern!!!",1,no youth approval ?????! Can someone explain to me why the app has no youth approval ?????! The targeted 60% usage quota won't do anything if important users are excluded from usage. Please change quickly !!!,,1,,,,,,,,,,,,,1
Leider nur für die neusten Telefone,"Schade :( nahezu alle älteren Menschen in meinem Umkreis können diese App nicht installieren, da sie nicht die neusten Snartphones besitzen. So kann gerade die tatsächliche Risikogruppe wenig bis gar nicht von dieser App profitieren.
Daumen runter!",1,,,1,,,,,,1,,,,,,,1
Was soll das?,"Zunächst: Toll, dass sie endlich da ist. Und das Interface für praktisch jedermann zu begreifen ist. ABER: Warum finde ich NIRGENDWO einen Hinweis dazu, ob das ganze eventuell auch bei ausgeschaltetem Bluetooth funktioniert bzw. steht in der App trotz ausgeschaltetem Bluetooth „Risiko-Ermittlung aktiv“ ?  Ich kann mir kaum vorstellen, dass dieser Punkt bei so einem Projekt nicht diskutiert wurde und bemitleide den/die App-Designer, denen dieser Punkt aus dem Must-Have-Katalog gestrichen wurde. Was soll das? Wer hat denn bitte dauerhaft Bluetooth an? Leider sehr, sehr peinlich. Nachbessern; sonst wird‘s nix mit dem Erfolg.

Edit nach Antwort durch RKI

Nur, um das Thema noch einmal zu verdeutlichen: Sie müssen den Leuten glasklar kommunizieren, wie diese App zu „bedienen“ ist. Mensch liest von „Bluetooth“ - denkt ergo daran, Bluetooth nun dauerhaft eingeschaltet haben zu müssen - so, als würde man sich verbinden wollen. Mensch installiert eine App - und nimmt an, dass sie/er eine App starten muss, damit etwas passiert. Gelerntes User-Verhalten eben. Beides jedoch ist hier nicht vonnöten. Und das muss den Leuten gesagt werden; wird es aber aktuell nirgendwo seitens der App selbst ider den FAQ, oder ...  Weshalb ich darauf herumreite: Jede nicht erfolgte Installation oder Deinstallation ist bei dieser App wirklich nicht nur schade, sondern mehr als auch nur ärgerlich. Insofern hoffe ich wirklich auf ein Update. Danke!",2,"What shoud that? First of all: it's great that it's finally here. And the interface can be understood by practically everyone. BUT: Why do I find NOWHERE a hint as to whether the whole thing works with Bluetooth switched off or does the app say ""risk determination active"" despite Bluetooth switched off? I can hardly imagine that this point was not discussed in such a project and I pity the app designer (s) for whom this point was deleted from the must-have catalog. What shoud that? Who has Bluetooth on permanently? Unfortunately  very  very embarrassing. Touching up; otherwise there will be no success.

Edit after answer by RKI

Just to clarify the subject once again: You have to communicate to people in a crystal-clear manner how to “use” this app. People read about “Bluetooth” - ergo thinks of having to have Bluetooth switched on permanently - as if one wanted to connect. Human installs an app - and assumes that she / he has to start an app for something to happen. Learned user behavior. However  neither is necessary here. And that has to be told to people; However  it is currently nowhere on the part of the app itself or the FAQ  or ... Which is why I argue about it: Any failed installation or deinstallation with this app is really not only a shame  but more than just annoying. So I really hope for an update. Thank you!",,,,1,,,,,,,,,,1,
Gemeinsam Corona bekämpfen,"Gemeinsam Corona bekämpfen. 
Ich bin dabei. Du auch?

Die ""Corona-Warn-App"" ist jetzt verfügbar. 
Natürlich kann man darüber diskutieren, was das bringen soll. Im schlimmsten Fall bringt es nichts. Na und? Dann haben wir es wenigstens versucht. 
Datenschutz ist immer ein Thema, aber wer facebook nutzt, gibt schon wesentlich mehr an Daten preis als über die Corona-Warn-App. 

Sei ein Helfer in der Pandemie-Bekämpfung und kein Idiot mit Aluhut!",5,"Fighting Corona together Fighting Corona together.
Count me in. You also?

The ""Corona Warning App"" is now available.
Of course  one can discuss what that should bring. In the worst case  it doesn't work. So what? Then at least we tried.
Data protection is always an issue  but those who use Facebook reveal much more data than via the Corona warning app.

Be a helper in fighting pandemics and not an idiot with an aluminum hat!",,,,,,,,,1,,,,,,1
"iOS 13.5, 15 Minuten Kontakt, Mindestalter 17+","Das ist echt am Ziel vorbei. Wir sind überzeugt, dass eine App nützlich ist. Aber wir schaffen so nicht mal in unserer 5köpfigen Familie die 60% Abdeckung. Sehr enttäuschend.",1,iOS 13.5  15 minutes of contact  minimum age 17+ That really missed the mark. We believe that an app is useful. But we can't even achieve 60% coverage in our family of five. Very disappointing.,,1,,,,,,,,,,,,1,
Fragwürdig,Die App zeigt mir egal wo ich bin das die App meine Standort nicht unterstützt... da fragt man sich wenn Ja soviel die App geladen haben ob Sie richtig funktioniert..,1,Questionable The app shows me no matter where I am that the app does not support my location ... you wonder if the app has loaded so much if it is working properly ..,,,,,,,1,,,,,,,1,
Corona-Warn-App ist sinnvolle Ergänzung des Maßnahmenpakets,"Ich habe mir das Konzept der deutschen Corona-App und den Source-Code angeschaut und habe sie direkt installiert, weil sich mir der Sinn hinter der App erschließt. Aus meiner Sicht ist, durch die dezentrale Struktur in Sachen „Schutz persönlicher Daten“ und „Schutz der Bewegungsdaten“ von technischer Seite nichts dagegen einzuwenden. Die Corona-Warn-App alleine wird die Ausbreitung des Virus nicht verhindern, ich betrachte sie als sinnvollen Teil eines Maßnahmenpaketes.

Ein anderer Aspekt ist die langfristige Datenschutzfolgenabschätzung, die der technischen Entwicklung der App nun unbedingt folgen muss. Eine Corona-Warn-App darf nicht der schleichende Einstieg in die gesellschaftliche Tolerierung von persönlicher Kontakt- und Bewegungsüberwachung werden – sie muss eine Ausnahme in einer Ausnahmesituation bleiben.

Zu den teilweise auftretenden technischen Problemen der App ist zu sagen, dass durch die schnelle unter Zeitdruck stehende Entwicklung Fehler nicht ausbleiben. Die rasche Abfolge an Updates zeigt mir, dass man seitens der Entwickler die Probleme zügig angeht.",5,"Corona warning app is a useful addition to the package of measures. I looked at the concept of the German Corona app and the source code and installed them directly because the app makes sense to me. From my point of view  the decentralized structure in terms of ""protection of personal data"" and ""protection of movement data"" means that there is nothing wrong with this from the technical side. The corona warning app alone will not prevent the virus from spreading  I consider it a useful part of a package of measures.

Another aspect is the long-term data protection impact assessment  which must now follow the technical development of the app. A corona warning app must not become a creeping entry into the social tolerance of personal contact and movement monitoring - it must remain an exception in an exceptional situation.

Regarding the technical problems of the app that sometimes occur  it should be said that errors are inevitable due to the rapid development  which is under time pressure. The quick sequence of updates shows me that the developers are tackling the problems quickly.",,,,,,,,,1,,,1,,,
Zwischenzeitlich sehr enttäuscht,"Ich hab mir so viel Positives von der App versprochen. Der Datenschutz scheint zu funktionieren. Die Fehlermeldungen und Hintergrundaktualisiering ist für mich als Nutzer nicht durchschaubar und damit unzuverlässig. Die Hotline war freundlich, konnte aber nicht überzeugen. Seit zwei Tagen keine Hintergrundsktualisiering. Die Aufforderung die Hintergrundaktualisierung für 24 Stunden zu deaktivieren ist ja genau das Problem. Jetzt haben viele die App und ohne das die Risikoermittlung läuft. Dabei war das der Sinn. Schade, ich habe kein Vertrauen mehr in die Funktionsweise der App. Ich kann die App seit heute niemanden empfehlen.

Vielen Dank für die Erläuterungen, wie die App funktionieren sollte. Bietet zu 
 dem geschilderten Problem keine Lösung.

Ich habe geschrieben , dass die meldet, dass seit zwei Tagen keine hintergrundaktualisierung  stattgefunden hat. Die Behebung des Fehlers soll mit einer Deaktivierung der Risikoermittlung für 24 Stunden behoben sein. Find ich kontraproduktiv zum Ziel der App. Ich habe immer den Stromsparmodus an und möchte die Akku Laufzeit nicht verringern. Wozu eine verkürze Akkulaufzeit für eine App! In der App steht „Aktualisierung alle 24 Stunden„ das konnte ich noch nicht einmal feststellen. Weder vor noch nach dem letzten Update.",1,"In the meantime very disappointed I promised myself so many positive things from the app. Data protection seems to be working. The error messages and background updates are not transparent for me as a user and therefore unreliable. The hotline was friendly  but couldn't convince. No background update for two days. The request to deactivate the background update for 24 hours is exactly the problem. Now many have the app and the risk assessment is not running. That was the point. It's a shame  I no longer trust the way the app works. As of today  I cannot recommend the app to anyone.

Thank you for the explanation of how the app should work. Offers to
 no solution to the problem described.

I wrote that it reports that there has been no background update for two days. The correction of the error should be resolved with a deactivation of the risk determination for 24 hours. I find it counterproductive to the goal of the app. I always have power saving mode on and don't want to reduce the battery life. Why shorten the battery life for an app! The app says ""Update every 24 hours"" I couldn't even tell. Neither before nor after the last update.",,,,,,,,,1,,,1,,1,
Schlechte Reichweite der Nutzer,"Die App an sich scheint gut zu funktionieren, allerdings ist es unfassbar, dass die App schon bei Geräten wie einem iphone 6 nicht einmal mehr installiert werden kann. Andere App-Anbieter schaffen es schließlich auch ihr Produkt für mehr Geräte verfügbar zu machen. Da hier schon von vornerein einer großen Anzahl an Nutzern der Zugang unmöglich gemacht wird, ist es fraglich wie so der eigentliche Sinn der App überhaupt umgesetzt werden kann.",1,Poor range of users The app itself seems to work well  but it is incredible that the app cannot even be installed on devices such as an iphone 6. Other app providers finally manage to make their product available for more devices. Since access is made impossible for a large number of users from the start  it is questionable how the real purpose of the app can be implemented in this way.,,,,,,,,1,,,,,,1,
"Dringend notwendige App, die klasse funktioniert","Ich bin echt froh darüber, dass es diese App gibt. Die Einschränkung mit dem neusten iOS ist zwar blöd, aber dringend notwendig. Nur so können Sicherheitslücken vermieden werden.

Es handelt sich hierbei auch anscheinend nicht um das herkömmliche Bluetooth, das super Akku frisst, sondern eine extra auf die App abgestimmte Variante.

Wer sich darüber beschwert, angeblich in einem totalitären Staat zu leben, kann gerne den Quellcode der App easy einsehen. Dementsprechend ist es nach wie vor keine Pflicht, sich dieses Programm herunterzuladen. 
Ein Blick in andere Länder genügt, um zu sehen, was für ein Glück wir haben, in einem einigermaßen gut funktionierenden Staat zu leben. Man denke an Amerika und Russland, wo Corona immer noch heftig wütet.

Wer Probleme mit der App hat, kann sich ja jederzeit an die Entwickler wenden. Damit ist allen definitiv geholfen.

Bleibt alle gesund!

P. S. Bewertungen werden nicht zurückgehalten, sondern einfach nur verzögert hochgeladen. Bitte behauptet doch nicht so einen Dreck.",5,"Urgently needed app that works great I'm really happy that this app exists. The restriction with the latest iOS is stupid  but urgently necessary. This is the only way to avoid security gaps.

Apparently  this is not about the conventional Bluetooth  which eats up the super battery  but a variant specially tailored to the app.

Anyone who complains about allegedly living in a totalitarian state is welcome to view the source code of the easy app. Accordingly  it is still not mandatory to download this program.
A look at other countries is enough to see how lucky we are to live in a country that functions reasonably well. Think of America and Russia  where Corona is still raging violently.

If you have problems with the app  you can always contact the developers. This definitely helped everyone.

Stay healthy!

P. S. Reviews are not held back  but simply uploaded with a delay. Please don't say such a shit.",,,,,,,,1,1,,,,,1,
(Fast) alles richtig gemacht.,"Einziger Kritikpunkt: Die App ist noch nicht in den Stores anderer Länder erhältlich. Das schließt viele meiner ausländischen Freunde und Kollegen aus, die hier leben, aber ihr Appstore/Playstore Konto nicht in Deutschland haben.
Ansonsten: transparent, Open Source, datensparsam. Top!",5,"(Almost) everything done right. The only point of criticism: the app is not yet available in stores in other countries. That excludes many of my foreign friends and colleagues who live here but do not have their Appstore / Playstore account in Germany.
Otherwise: transparent  open source  data-saving. Top!",,,,,,,,,1,,,,,,1
Telefonische Meldung eines Testergebnisses,"Wenn ich dort anrufe, werde ich minutenlang gefragt, ob ich auf Englisch oder Türkisch weitermachen will. Warum steht nicht sofort die deutsche Version zur Verfügung und wer eine andere Sprache will, kann dann wählen?
Als die Dame auf türkisch weiter gemacht hat, hab ich aufgelegt. Mein Testergebnis interessiert wohl nicht.

Hat zwar nichts mit der App selbst zu tun, aber könnt ihr das weitergeben?",5,"Telephone reporting of a test result When I call them  I am asked for minutes whether I want to continue in English or Turkish. Why is the German version not immediately available and whoever wants a different language can then choose?
When the lady continued in Turkish  I hung up. I don't think I'm interested in my test result.

Has nothing to do with the app itself  but can you pass it on?",,,,,,1,,,,,,,,,1
Ausbaufähig,"Ich habe die Corona Warn App auf einem iPhone 11 installiert. Sie scheint zu arbeiten. Aber ich habe ein paar Anmerkungen:

(1) Die App meldet mir, dass sie in meiner Region ggf. nicht unterstützt. Hm. Ich halte mich in Deutschland auf. Und nicht einmal in Grenznähe.
(2) Ich würde gern in der App angezeigt bekommen, wann die App anonymisierte Nummern erzeugt, damit ich ahnen kann, in welchen Situationen die App ein potentiolles Risiko annimmt. In der App findet ich dazu keine Funktion.
(3) Wenn ich Bluetooth ausschalte, erwarte ich einen Warnhinweis, dass die App nicht mehr arbeiten kann. 
(4) Im AppStore steht beim Alter: 17+. Warum? Was ist mit Schülern? Warum sollten sie mit Zustimmung der Elter nicht die App nutzen?
(5) Ich würde die Sprache der App gern unabhängig von meinen iPhone Settings einstellen können.",4,"Updatable I have installed the Corona Warn app on an iPhone 11. It seems to be working. But I have a couple of comments:

(1) The app tells me that it may not be supported in my region. Hm. I'm in Germany. And not even near the border.
(2) I would like to be shown in the app when the app generates anonymized numbers so that I can guess in which situations the app assumes a potential risk. There is no function for this in the app.
(3) When I turn off Bluetooth  I expect a warning that the app can no longer work.
(4) The AppStore says age: 17+. Why? What about students? Why shouldn't they use the app with the consent of their parents?
(5) I would like to be able to set the language of the app independently of my iPhone settings.",,1,,,,1,1,,,,,,1,,
Ich hoffe diese App. hilft uns durch die Pandemie!,Ich glaube das diese App. alle Datenschutzrichtlinien in Deutschland erfüllt und das die Rückverfolgbarkeit von Covid-19 Erkranken und deren Kontaktpersonen erleichtert.,5,I hope this app. help us through the pandemic! I believe this app. Fulfills all data protection guidelines in Germany and facilitates the traceability of Covid-19 patients and their contact persons.,,,,,,,,,1,,,,,,1
Setzt ein neues IPhone voraus,"Wenn schon so viele Menschen als möglich diese App nutzen sollen, sollte Sie auch mit Älteren Smartphones funktionieren.
Nicht jeder kann und will sich das neueste Handy kaufen um die App nutzen zu können.
Da darf man sich nicht wundern, wenn man nicht viele Bürger erreicht.__",1,"Requires a new iPhone If as many people as possible are to use this app  it should also work with older smartphones.
Not everyone can and wants to buy the latest mobile phone to use the app.
You shouldn't be surprised if you don't reach many citizens",,,,,,,,1,,,,,1,,
Top,Hoffentlich wird die App bald auf andere Bereiche ausgeweitet.,5,Hopefully the app will soon be expanded to other areas.,,,,,,,1,,,,,,,,1
Wieso iOS 13.5?,"Ich lass das hier mal für die ganzen Nutzer die sich wundern wieso die App auf älteren Geräten (iPhone 6 oder älter) NICHT funktioniert:
Das ist KEINE Entscheidung der App entwickler! Die App braucht zwingendermaßen (!) eine Schnittstelle die Apple erst mit iOS 13.5 hinzugefügt hat. Auf älteren iOS Versionen kann eine App nur dann Bluetooth Daten per Bluetooth empfangen wenn sie gerade geöffnet ist (und nicht im Hintergrund). Da die Corona-Warn-App jedoch ständig auf Bluetooth zugreifen muss (auch wenn ihr das Handy nur in der Hosentasche habt) um sinnvoll zu funktionieren funktioniert das leider erst ab iOS 13.5 . Wer sich darüber ärgert sollte sich an Apple wenden damit die diese Schnittstelle auch auf älteren Geräten freischalten und nicht hier negative Bewertungen hinterlassen weil die Entwickler der App absolut nichts dafür können. Hoffe damit sind alle Klarheiten beseitigt ;)",5,"Why iOS 13.5? I'll leave this here for all users who are wondering why the app does NOT work on older devices (iPhone 6 or older):
This is NOT a decision of the app developer! The app absolutely (!) Needs an interface that Apple only added with iOS 13.5. On older iOS versions  an app can only receive Bluetooth data via Bluetooth when it is currently open (and not in the background). However  since the Corona warning app has to constantly access Bluetooth (even if you only have the mobile phone in your pocket) in order to function properly  this unfortunately only works from iOS 13.5. Anyone who is annoyed about this should contact Apple so that they can also activate this interface on older devices and not leave negative reviews here because the developers of the app cannot help it. Hope that clears all clarity;)",,,,,,,,1,,,,,1,,
Funktioniert überhaupt nicht!,"Ich werde immer wieder aufgefordert meine Risiko Ermittlung einzuschalten , obwohl sie längst aktiv ist! Dadurch kann ich auch nicht aktualisieren da die Aufforderung über dem selben Button liegt! und automatisch aktualisiert überhaupt nichts! 
Sobald man mehr als 20 km den Standort verändert bekommt man die Push Meldung „ Risiko Ermittlung in ihrer Region möglicherweise nicht verfügbar“ 
Was soll der Quatsch ? Welchen Nutzen hat die App da überhaupt??",1,"Doesn't work at all! I am repeatedly asked to switch on my risk assessment even though it has long been active! This means that I cannot update because the request is above the same button! and automatically updates nothing at all!
As soon as you change the location more than 20 km you get the push message ""Risk determination in your region may not be available""
What's the nonsense? What use is the app anyway?",,,,,,,1,,,,,1,,,
iOS-Version,"An alle die sich darüber beschweren, dass ältere iOS Versionen nicht unterstützt werden:

Das Funktionsprinzip der App benötigt zwangsläufig die von Apple in iOS 13.5 bereitgestellte Schnittstelle um zu funktionieren. Heißt, dass es technisch einfach nicht möglich ist die App auf älteren Versionen laufen zu lassen.
Die Entwickler können daran nichts beeinflussen.",5,"iOS version To everyone who complains that older iOS versions are not supported:

The functional principle of the app inevitably requires the interface provided by Apple in iOS 13.5 in order to function. Means that it is technically not possible to run the app on older versions.
The developers cannot influence this.",,,,,,,,1,,,,,,,1
Endlich da. Jetzt schnell installieren.,"Bleibt nur die Frage, warum die App erst ab 17 Jahren frei ist, wenn im Erklärungstext gezielt auch 16-jährige angesprochen werden. Oder glaubt an offizieller Stelle niemand an Jugendschutzeinstellungen auf Jugend-Geräten?",5,Finally there. Install now quickly. The only question that remains is why the app is only free from the age of 17 if the explanatory text specifically addresses 16-year-olds. Or does nobody officially believe in child protection settings on youth devices?,,1,,,,,,,,,,,,,1
Betriebssystem,"Warum funktioniert die App nur mit dem neuesten Update von Apple?
Viele ältere Modelle sind damit ausgeschlossen!",2,"Operating system Why does the app only work with the latest update from Apple?
Many older models are excluded!",,,,,,,,1,,,,,,,1
Gut aber...,"Endlich, gute App. Nur schade das man sie auf ältere Betriebssysteme nicht laden kann, deswegen nur 2 Sterne",2,Good but ... Finally  good app. It's just a shame that you can't load them on older operating systems  so only 2 stars,,,,,,,,1,,,,,,,1
It doesn’t work,"I was in Turkey due to business trip. This is a risky area according to Robert Koch institute. I expected that the app will give me at least yellow warning, because when I came back to Germany I had to stay at home on quarantine and pass the test on COVID-19. But instead the app just notified me that it may not work properly outside of Germany, but everything is still “in grünem Bereich“. 
Another thing is, I was tested on COVID (negative), but on my test result there is no QR code, no bar code nothing. The app requests however a QR code of you were tested, otherwise you can’t input the test results. One star. It just doesn’t work.",1," It doesn’t work I was in Turkey due to business trip. This is a risky area according to Robert Koch institute. I expected that the app will give me at least yellow warning  because when I came back to Germany I had to stay at home on quarantine and pass the test on COVID-19. But instead the app just notified me that it may not work properly outside of Germany  but everything is still “in grünem Bereich“. 
Another thing is  I was tested on COVID (negative)  but on my test result there is no QR code  no bar code nothing. The app requests however a QR code of you were tested  otherwise you can’t input the test results. One star. It just doesn’t work. ",,,,,,,1,,,,,,,1,
Hoffentlich machen viele mit ...,"Zur App ... installiert ... man wir alles gefragt und alles freiwillig. Bluetooth muss eingeschaltet sein damit die Anzeige nicht zurück springt (Vorredner) Hoffe es machen viele und vor allem auch richtig mit damit es Sinn macht. 
Datenschutz ... kann es nicht mehr hören was Deutsche über Facebook, Google, Amazon und co alles freigeben... Hoffentlich verpufft der Sinn der App nicht wenn man alles abstellen kann. Hoffentlich gibts viele Geschäfte die eine Grüne App vor Eintritt fordern !!!!!  Zum Schutz der „alten“ und kranken .",5,"Hopefully a lot of people will participate ... Go to the app ... installed ... we asked everything and everything voluntarily. Bluetooth has to be switched on so that the display does not jump back (previous speaker) Hope many people do it  and above all correctly so that it makes sense.
Data protection ... can no longer hear what Germans release via Facebook  Google  Amazon and co ... Hopefully the app doesn't fizzle out if you can turn everything off. Hopefully there are many shops that require a green app before entering !!!!! To protect the ""old"" and the sick.",,,,,,,,,1,,,,,,1
Corona App,"Nach der Installation verlief alles normal, dann erhielt ich jedoch ständig Meldungen, dass in meiner Region nicht gecheckt werden kann, dann, dass ich seit 14 Tagen nicht gecheckt werden konnte, usw. ich sehe in der App wenig Sinn, zumal ja nicht einmal sichergestellt ist, dass positive getestete Menschen , auch den TAN oder Code eingeben .",1,Corona App After the installation everything went normally  but then I received constant messages that it was not possible to check in my region  then that I had not been checked for 14 days  etc. I see little point in the app  especially not once it is ensured that people who have tested positive also enter the TAN or code.,,,,,,,1,,,,,1,,,
