,Date,AppID,AppName,Country,Author,Rating,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
45,8/10/20 8:14,fr.gouv.android.stopcovid,StopCovid France,fr,MO ASSINE,5,Facile à l'installation. Simple d'utilisation On peut activer/désactiver l'applocation au besoin.,Easy to install. Easy to use You can activate / deactivate the application as needed.,fr,Easy to install  Easy to use You can activate   deactivate the application as needed ,Domain_Specific,applic,0.125,Positive,0,0,1,0,0,0,0,0,0
47,8/9/20 17:07,fr.gouv.android.stopcovid,StopCovid France,fr,Dep Dep,1,Nul surchauffe le téléphone...je supprime...pourtant j ai un flagship killer...realme x2pro,No one overheats the phone ... I delete ... yet I have a flagship killer ... realme x2pro,fr,No one overheats the phone     I delete     yet I have a flagship killer     realme x pro,Domain_Specific,killer,0.1,Negative,0,0,1,0,0,0,0,0,0
48,8/9/20 16:29,fr.gouv.android.stopcovid,StopCovid France,fr,Steeve B.,2,"L'idée était bonne, il aurait encore fallu que la population française (car dans d'autres pays cela fonctionne beaucoup mieux) adhère au projet de protection mutuelle. Bref, il y a eu une idée et cela fait pschitt. La finalité est une application qui a coûté cher, n'a été téléchargée que par une minorité de personnes et de plus techniquement cela est très compliqué. En effet, l'application passe son temps à se désactiver, il faut de manière incessante se connecter et la relancer, souvent on oublie et donc l'application ne sert...à rien. C'est donc de l'argent public gâché. Maintenant, je terminerai encore une fois en précisant que ce fiasco est essentiellement celui de la population générale car les concepteurs ont dû proposer un produit ""coquille"" vide tant la peur du Big Brother a fait trembler les petites guiboles de nos concitoyens. Au moins nos voisins allemands en font bon usage.","The idea was good  it would still have been necessary for the French population (because in other countries it works much better) to adhere to the mutual protection project. In short  there was an idea and it springs up. The end result is an application that has been expensive  has only been downloaded by a minority of people and moreover technically it is very complicated. Indeed  the application spends its time deactivating itself  it is incessantly necessary to connect and restart it  often we forget and therefore the application is of no use ... for nothing. So it's wasted public money. Now  I will end once again by specifying that this fiasco is essentially that of the general population because the designers had to offer an empty ""shell"" product so much the fear of Big Brother made the small stumps of our fellow citizens tremble. At least our German neighbors are making good use of it.",fr,The idea was good  it would still have been necessary for the French population  because in other countries it works much better  to adhere to the mutual protection project  In short  there was an idea and it springs up  The end result is an application that has been expensive  has only been downloaded by a minority of people and moreover technically it is very complicated  Indeed  the application spends its time deactivating itself  it is incessantly necessary to connect and restart it  often we forget and therefore the application is of no use     for nothing  So it s wasted public money  Now  I will end once again by specifying that this fiasco is essentially that of the general population because the designers had to offer an empty  shell  product so much the fear of Big Brother made the small stumps of our fellow citizens tremble  At least our German neighbors are making good use of it ,"Domain_Specific, Emotional, Language, Location, Privacy, Socio_economic_Status","fear, countri, german, french, expens, technic, countri, protect, brother, applic",0.128205128,Negative,0,0,1,1,0,1,1,1,1
51,8/9/20 7:22,fr.gouv.android.stopcovid,StopCovid France,fr,Ra Do,4,"Le code est diffusé sur Gitlab et sans que les technologies de traçages proposées gratuitement par Apple et Google ne soient incluses dans Stop Covid, n'est-ce pas ?",The code is distributed on Gitlab and without the tracking technologies offered for free by Apple and Google being included in Stop Covid  right?,fr,The code is distributed on Gitlab and without the tracking technologies offered for free by Apple and Google being included in Stop Covid  right ,"Privacy, Socio_economic_Status","free, track",0.142857143,Positive,0,0,0,0,0,0,0,1,1
57,8/8/20 18:25,fr.gouv.android.stopcovid,StopCovid France,fr,Alexis Hayat,5,C'est important d'installer cette app. Pour les septiques des données. Vous utilisez quel moteur de recherche ?,It is important to install this app. For septic data. Which search engine do you use?,fr,It is important to install this app  For septic data  Which search engine do you use ,"Domain_Specific, Privacy","data, import, engin",0.375,Positive,0,0,1,0,0,0,0,1,0
58,8/8/20 14:35,fr.gouv.android.stopcovid,StopCovid France,fr,muriel divoux,1,Rien vu sûrement pas à jour...... Sans commentaire,Nothing seen surely not up to date ...... No comment,fr,Nothing seen surely not up to date        No comment,Domain_Specific,comment,0.2,Negative,0,0,1,0,0,0,0,0,0
60,8/8/20 11:58,fr.gouv.android.stopcovid,StopCovid France,fr,Arnaud Berger,1,"J'aimerais bien l'utiliser, le principe est bien. Mais impossible de l'activer... Honor 10 Android 10 PS zéro problème avec l'application Swiss covid.....",I would like to use it  the principle is good. But impossible to activate ... Honor 10 Android 10 PS zero problem with the Swiss covid application .....,fr,I would like to use it  the principle is good  But impossible to activate     Honor    Android    PS zero problem with the Swiss covid application      ,Domain_Specific,applic,0.066666667,Positive,0,0,1,0,0,0,0,0,0
61,8/8/20 11:19,fr.gouv.android.stopcovid,StopCovid France,fr,Martine Laguionie,5,Moi je l'active quand je sors à l'extérieur où si quelqu'un vient chez moi malheureusement pas beaucoup de personnes l'ont télécharger....... Il faudrait pour se protéger et protéger les autres que tout le monde (le télécharge) et l'active ça ne peut être que utile.,I activate it when I go outside or if someone comes to my house unfortunately not many people download it ....... It would be necessary to protect yourself and others than everyone else ( downloads it) and activates it it can only be useful.,fr,I activate it when I go outside or if someone comes to my house unfortunately not many people download it         It would be necessary to protect yourself and others than everyone else   downloads it  and activates it it can only be useful ,"Domain_Specific, Privacy","protect, outsid",0.105263158,Positive,0,0,1,0,0,0,0,1,0
63,8/8/20 9:54,fr.gouv.android.stopcovid,StopCovid France,fr,Phil Plessis,2,"après l'installation, l'application fait une série de vérifications (bluetooth, horloge) pour finalement découvrir que mon apparreil ne supporte pas low-pow bluetooth : pas de stop-covid pour moi. 1. vous pourriez faire les vérifs de compatibilité au début, ça gagnerait du temps pour tout le monde. 2. entre les personnes agées sans smartphone et les gens dont le tel. est incompatible, quelle couverture espérez-vous atteindre ? 3. merci de prévoir le plan de financement pour un nouveau tel :)",after installation  the application performs a series of checks (bluetooth  clock) to finally discover that my device does not support bluetooth low-pow: no stop-covid for me. 1. you could do the compatibility checks early  it would save everyone's time. 2. between the elderly without a smartphone and people with tel. is incompatible  what coverage do you hope to achieve? 3. Thank you for planning the financing plan for a new phone :),fr,after installation  the application performs a series of checks  bluetooth  clock  to finally discover that my device does not support bluetooth low pow  no stop covid for me     you could do the compatibility checks early  it would save everyone s time     between the elderly without a smartphone and people with tel  is incompatible  what coverage do you hope to achieve     Thank you for planning the financing plan for a new phone   ,"Age, Domain_Specific","elder, perform, elder, applic",0.1,Positive,1,0,1,0,0,0,0,0,0
66,8/8/20 8:19,fr.gouv.android.stopcovid,StopCovid France,fr,Marie-Luce Peirone,2,Je ne l'ai pas installé car ça me va peur. C'est assez difficile pour moi. En plus je préfère ne pas savoir,I didn't install it because it scares me. It's quite difficult for me. In addition I prefer not to know,fr,I didn t install it because it scares me  It s quite difficult for me  In addition I prefer not to know,Emotional,scare,0.125,Negative,0,0,0,1,0,0,0,0,0
67,8/8/20 7:03,fr.gouv.android.stopcovid,StopCovid France,fr,alex vic,1,"Impossible d'activer l'appli, les notification sont autorisés, la localisation aussi et l'appli ne veut pas s'activer.... D'une simplicité bien française",Impossible to activate the app  notifications are authorized  the location too and the app does not want to activate .... Very French simplicity,fr,Impossible to activate the app  notifications are authorized  the location too and the app does not want to activate      Very French simplicity,"Domain_Specific, Language, Privacy","french, locat, author, locat, author",0.384615385,Negative,0,0,1,0,0,1,0,1,0
68,8/8/20 6:56,fr.gouv.android.stopcovid,StopCovid France,fr,Jean-Philippe T.,1,Cette application ne fonctionne pas avec mon Samsung Galaxy J7 (achat neuf été 2016 dans une grande enseigne de distribution) parce qu'elle ne fonctionne qu'avec du Bluetooth Low Energy .... C'est bien nouveau ce problème de version Bluetooth. Mon smartphone est pourtant assez récent. Résumé : cette application a peu de chance d'être largement utilisée par la population si elle est technologiquement aussi sélective. L'application ne cite que une petite centaine de modèles compatibles !!,This application does not work with my Samsung Galaxy J7 (new purchase in summer 2016 from a large retailer) because it only works with Bluetooth Low Energy .... This problem with the Bluetooth version is quite new. My smartphone is however fairly recent. Summary: This application is unlikely to be widely used by the population if it is so technologically selective. The application only cites a hundred or so compatible models !!,fr,This application does not work with my Samsung Galaxy J   new purchase in summer      from a large retailer  because it only works with Bluetooth Low Energy      This problem with the Bluetooth version is quite new  My smartphone is however fairly recent  Summary  This application is unlikely to be widely used by the population if it is so technologically selective  The application only cites a hundred or so compatible models   ,Domain_Specific,"retail, model, applic",0.075,Negative,0,0,1,0,0,0,0,0,0
73,8/7/20 16:11,fr.gouv.android.stopcovid,StopCovid France,fr,Julien Berujon,5,"Ça bugue parfois. Mais en déinstallant et en réinstallant, ça remarche. Sinon sert sûrement. Ça ne coûte rien de la mettre en route tous les jours, au même titre que le masque et le gel hydroalcoolique 😂",It sometimes buggy. But by uninstalling and reinstalling  it works. Otherwise surely serves. It costs nothing to put it on every day  just like the mask and hydroalcoholic gel 😂,fr,It sometimes buggy  But by uninstalling and reinstalling  it works  Otherwise surely serves  It costs nothing to put it on every day  just like the mask and hydroalcoholic gel  ,Socio_economic_Status,cost,0.058823529,Positive,0,0,0,0,0,0,0,0,1
79,8/7/20 13:24,fr.gouv.android.stopcovid,StopCovid France,fr,Elect Trenteun,1,Même au gouvernement ils n'en parlent plus... C'est dire.... Pas la peine de l'avoir. De plus elle se désactive sans qu'on le sache. On reste plusieurs jours sans voir qu'elle n'est plus en service.,Even in the government they no longer talk about it ... That is to say .... No need to have it. In addition  it is deactivated without our knowing it. We stay several days without seeing that it is no longer in service.,fr,Even in the government they no longer talk about it     That is to say      No need to have it  In addition  it is deactivated without our knowing it  We stay several days without seeing that it is no longer in service ,Domain_Specific,"servic, servic",0.117647059,Negative,0,0,1,0,0,0,0,0,0
80,8/7/20 12:13,fr.gouv.android.stopcovid,StopCovid France,fr,Jean Matth,1,"La mise a jour indique ""amélioration et correction"". La version précédente fonctionnait. Impossible d'activer celle ci. L'application se ferme après avoir cliqué sur ""j'active"". java.io.IOException: javax.crypto.AEADBadTagException","The update says ""improvement and correction"". The previous version worked. Unable to activate this one. The application closes after clicking on ""I activate"". java.io.IOException: javax.crypto.AEADBadTagException",fr,The update says  improvement and correction   The previous version worked  Unable to activate this one  The application closes after clicking on  I activate   java io IOException  javax crypto AEADBadTagException,Domain_Specific,applic,0.05,Positive,0,0,1,0,0,0,0,0,0
87,8/7/20 8:46,fr.gouv.android.stopcovid,StopCovid France,fr,Hervé Delattre,5,"Pour répondre aux différents commentaires plus bas, il est important de savoir configurer son Android avant d'émettre un avis. Pour la plus part, il leurs manque l'autorisation d'exécution en arrière plan. Quant-à l'appli, avoir dans le temps son efficacité, conditionné par le nbr d'utilisateur. Soyons solidaire et responsable face au danger.",To respond to the various comments below  it is important to know how to configure your Android before giving an opinion. For the most part  they lack permission to run in the background. As for the app  to have its efficiency over time  conditioned by the number of users. Let us show solidarity and be responsible in the face of danger.,fr,To respond to the various comments below  it is important to know how to configure your Android before giving an opinion  For the most part  they lack permission to run in the background  As for the app  to have its efficiency over time  conditioned by the number of users  Let us show solidarity and be responsible in the face of danger ,Domain_Specific,"respond, import, run, comment",0.142857143,Positive,0,0,1,0,0,0,0,0,0
88,8/7/20 8:10,fr.gouv.android.stopcovid,StopCovid France,en,Alexandre Hô,5,"L'application a des informations claires et detaillées. Elle peut etre activée ou désactivée en un clic. Pour le reste, elle s'oublie et travaille pour notre santé sans se faire remarquer. Il n'y a pas de statistiques sur les périodes où je l'active.",The application has clear and detailed information. It can be activated or deactivated with one click. For the rest  it forgets itself and works for our health without being noticed. There are no statistics on when I activate it.,fr,The application has clear and detailed information  It can be activated or deactivated with one click  For the rest  it forgets itself and works for our health without being noticed  There are no statistics on when I activate it ,Domain_Specific,applic,0.0625,Positive,0,0,1,0,0,0,0,0,0
90,8/7/20 7:45,fr.gouv.android.stopcovid,StopCovid France,fr,Jonathan LE LU,3,Difficile à évaluer car il n'est pas possible de quantifié le service rendu (ex : nombre de personnes que l'on a croisés),Difficult to assess because it is not possible to quantify the service provided (e.g. number of people we have met),fr,Difficult to assess because it is not possible to quantify the service provided  e g  number of people we have met ,Domain_Specific,"servic, servic",0.166666667,Negative,0,0,1,0,0,0,0,0,0
93,8/7/20 6:21,fr.gouv.android.stopcovid,StopCovid France,fr,Olivier C,5,J'ai lu pas mal de commentaires négatifs et positifs... L'appli sur mon Huawei (après avoir réglé quelques paramètres systèmes afin qu'elle puisse tourner en permanence et des le démarrage) marche très bien. Je suis heureux de pouvoir sortir en sachant que : Si je croise des personnes avec l'appli et que l'un d'entre nous est contaminé je serai informé. Mes données ne sont pas utilisées à d'autres fins et sont d'ailleurs totalement anonymes dans leur stockage J'ai le contrôle sur mes données...,I have read a lot of negative and positive comments ... The app on my Huawei (after adjusting some system settings so that it can always run and start up) works fine. I am happy to be able to go out knowing that: If I meet people with the app and one of us is infected  I will be informed. My data is not used for other purposes and is also completely anonymous in its storage I have control over my data ...,fr,I have read a lot of negative and positive comments     The app on my Huawei  after adjusting some system settings so that it can always run and start up  works fine  I am happy to be able to go out knowing that  If I meet people with the app and one of us is infected  I will be informed  My data is not used for other purposes and is also completely anonymous in its storage I have control over my data    ,"Domain_Specific, Privacy","data, run, comment",0.085714286,Positive,0,0,1,0,0,0,0,1,0
96,8/6/20 21:34,fr.gouv.android.stopcovid,StopCovid France,fr,Semifer Arimane,1,"J'ai installé l'application au départ pour jouer le jeu. Moins d'un mois après, l'application n'apparaissait plus dans la zone de notification et s'arrêtait sans rien dire. Vu le peu de téléchargements, en sus de l'instabilité, on peut raisonnablement dire que cette application ne sert à rien. Un gâchis d'argent public parmis tant d'autres, un énième fiasco gouvernemental sur un projet numérique. La France a 10 ans de retard en la matière et cela devient affligeant.",I installed the application initially to play the game. Less than a month later  the application no longer appeared in the notification area and stopped without saying anything. Given the few downloads  in addition to the instability  we can reasonably say that this application is useless. A waste of public money among so many others  yet another government fiasco on a digital project. France is 10 years behind in this matter and it is becoming distressing.,fr,I installed the application initially to play the game  Less than a month later  the application no longer appeared in the notification area and stopped without saying anything  Given the few downloads  in addition to the instability  we can reasonably say that this application is useless  A waste of public money among so many others  yet another government fiasco on a digital project  France is    years behind in this matter and it is becoming distressing ,"Domain_Specific, Emotional, Location","distress, area, franc, distress, applic",0.119047619,Negative,0,0,1,1,0,0,1,0,0
97,8/6/20 21:13,fr.gouv.android.stopcovid,StopCovid France,fr,Christophe Arnous,4,Simple et fonctionnel mais il faut la désactiver pour utiliser le paiement sur mobile car il mais en échec les transactions,Simple and functional but you have to deactivate it to use the payment on mobile because it fails the transactions,fr,Simple and functional but you have to deactivate it to use the payment on mobile because it fails the transactions,Socio_economic_Status,payment,0.111111111,Negative,0,0,0,0,0,0,0,0,1
98,8/6/20 20:01,fr.gouv.android.stopcovid,StopCovid France,fr,Bruno REBUFET,1,"Incroyable de fournir ""Officiellement"" une daube pareille. Deconnexion intempestive et fonctionnement aleatoire. Quand en pense a l'importance de l'application... Je la desinstalle car oas d'interets. Dommage","Incredible to provide ""Officially"" such crap. Inadvertent disconnection and random operation. When it comes to the importance of the application ... I uninstall it because of interest. Pity",fr,Incredible to provide  Officially  such crap  Inadvertent disconnection and random operation  When it comes to the importance of the application     I uninstall it because of interest  Pity,Domain_Specific,"import, applic",0.133333333,Positive,0,0,1,0,0,0,0,0,0
101,8/6/20 12:57,fr.gouv.android.stopcovid,StopCovid France,fr,Noémie Mivieux,4,"Cette application est superbe, elle permet bien évidemment de nous protéger face à la Covid-19, de plus, à notre inscription, on nous présente les gestes barrière primordial à utiliser. Le seul défaut et que ça use beaucoup de batterie.",This application is superb  it obviously allows us to protect ourselves against Covid-19  moreover  when we register  we are presented with the essential barrier gestures to use. The only flaw and that it uses a lot of battery.,fr,This application is superb  it obviously allows us to protect ourselves against Covid     moreover  when we register  we are presented with the essential barrier gestures to use  The only flaw and that it uses a lot of battery ,"Domain_Specific, Privacy","protect, applic, present",0.15,Positive,0,0,1,0,0,0,0,1,0
104,8/6/20 12:24,fr.gouv.android.stopcovid,StopCovid France,fr,DELPLANQUE MICHAEL,1,"Pompe de la batterie comme si sa vie en dépendait, aucune alerte, aucune info. Le néant anti écologique :-). Je recherchais sans espoir une application qui vide ma batterie rapidement, la France a répondu présent à mes attentes. Merci on est des bons.",Pump the battery like its life depended on it  no alerts  no info. The anti ecological nothingness :-). I was hopelessly looking for an application that drains my battery quickly  France has met my expectations. Thank you  we're good.,fr,Pump the battery like its life depended on it  no alerts  no info  The anti ecological nothingness      I was hopelessly looking for an application that drains my battery quickly  France has met my expectations  Thank you  we re good ,"Domain_Specific, Location","franc, applic",0.095238095,Positive,0,0,1,0,0,0,1,0,0
106,8/6/20 8:33,fr.gouv.android.stopcovid,StopCovid France,fr,Sylvain Boulard,1,Ne cesse de se désactiver. A fini par ne plus marcher du tout... Est ce un investissement insuffisant ? Une certitude : une application ne peut avoir du succès que si la qualité est là. Dommage pour une application censée participer à la santé des Français,Keeps turning off. Ended up not working at all ... Is this an insufficient investment? One thing is certain: an application can only be successful if the quality is there. Too bad for an application supposed to participate in the health of the French,fr,Keeps turning off  Ended up not working at all     Is this an insufficient investment  One thing is certain  an application can only be successful if the quality is there  Too bad for an application supposed to participate in the health of the French,"Domain_Specific, Language","french, applic",0.105263158,Positive,0,0,1,0,0,1,0,0,0
108,8/6/20 6:43,fr.gouv.android.stopcovid,StopCovid France,fr,Frederic Simaeys,2,L'application passe son temps à se désactiver et à demander d'être réactivée manuellement. C'est pénible et ça ne donne vraiment pas envie. C'est extrêmement contre productif au regard de l'objectif visé....,The application spends its time deactivating itself and asking to be manually reactivated. It's painful and it really doesn't make you want to. It is extremely counterproductive with regard to the objective sought ...,fr,The application spends its time deactivating itself and asking to be manually reactivated  It s painful and it really doesn t make you want to  It is extremely counterproductive with regard to the objective sought    ,Domain_Specific,applic,0.0625,Negative,0,0,1,0,0,0,0,0,0
109,8/6/20 4:12,fr.gouv.android.stopcovid,StopCovid France,fr,Jean-Philippe Vignolo,1,C'est une honte. Régulièrement obligé d'effacer les données de l'appli ou de la réinstaller sinon l'appli crash au démarrage. Le problème existait déjà il y a 1 mois et vient de se reproduire... Si le suivi des malades et du même niveau que l'appli c'est pas gagné...,It's a shame. Regularly forced to erase the app data or reinstall it otherwise the app crashes on startup. The problem already existed 1 month ago and has just happened again ... If the monitoring of patients and at the same level as the app is not won ...,fr,It s a shame  Regularly forced to erase the app data or reinstall it otherwise the app crashes on startup  The problem already existed   month ago and has just happened again     If the monitoring of patients and at the same level as the app is not won    ,"Domain_Specific, Privacy","data, level",0.095238095,Negative,0,0,1,0,0,0,0,1,0
110,8/5/20 20:30,fr.gouv.android.stopcovid,StopCovid France,fr,Vincent CARON,2,"Se désactive tout seul. Peut être cela vient du système de Xiaomi, je ne sais pas. Je désinstalle.",Disables itself. Maybe it comes from Xiaomi's system  I don't know. I uninstall.,fr,Disables itself  Maybe it comes from Xiaomi s system  I don t know  I uninstall ,Disability,disabl,0.142857143,Neutral,0,1,0,0,0,0,0,0,0
111,8/5/20 19:35,fr.gouv.android.stopcovid,StopCovid France,fr,Hayat MILI,1,"Téléchargé aujourd'hui, m'a vide la batterie en un temps record , du coup je desinstalle Malheureusement",Downloaded today  empty the battery in record time  so I uninstall Unfortunately,fr,Downloaded today  empty the battery in record time  so I uninstall Unfortunately,Domain_Specific,record,0.125,Negative,0,0,1,0,0,0,0,0,0
116,8/5/20 12:25,fr.gouv.android.stopcovid,StopCovid France,fr,Gilles Warocquier,1,"Application très aléatoire..se ferme toute seule sans raison. Et depuis peu, impossible de la démarrer. Dommage",Very random application .. closes on its own for no reason. And recently  impossible to start it. Pity,fr,Very random application    closes on its own for no reason  And recently  impossible to start it  Pity,Domain_Specific,applic,0.111111111,Negative,0,0,1,0,0,0,0,0,0
118,8/5/20 9:28,fr.gouv.android.stopcovid,StopCovid France,fr,Katalyn COUCEIRO,1,Je met 1etoile vu qu'on peut pas m'être aucune étoiles car elle ne sert a rien vu que je lance l'application je met toute les autorisations met elle ce ferme toutes seule,I put 1 star since we can not be me any stars because it is useless since I launch the application I put all the authorizations puts it this closes all by itself,fr,I put   star since we can not be me any stars because it is useless since I launch the application I put all the authorizations puts it this closes all by itself,Domain_Specific,"author, author, applic",0.214285714,Negative,0,0,1,0,0,0,0,0,0
120,8/5/20 8:20,fr.gouv.android.stopcovid,StopCovid France,fr,Thibault CLERC,5,Application discrète et bien pensée. A utiliser par tous pour éviter une seconde vague qui se profile... Fonctionne très bien sur mon Pixel 3a.,Discreet and well thought out application. To be used by all to avoid a second wave looming ... Works great on my Pixel 3a.,fr,Discreet and well thought out application  To be used by all to avoid a second wave looming     Works great on my Pixel  a ,Domain_Specific,applic,0.083333333,Positive,0,0,1,0,0,0,0,0,0
121,8/5/20 8:16,fr.gouv.android.stopcovid,StopCovid France,fr,adrien mauvais,1,"Application complaitement inutile Elle ne reste pas active en continu Le faite quel passe par le bluetooth et non la 4g la rend encore plus inutile et le faite que lapplication ne ce mètes pas a jour toute seul en fonction du dossier medicale et quel nes pas imposer n'arende pas les choses... Cette appli et une bonne idée mais pas asser travailler , buguer , et male pencer....",Completely useless application It does not remain active continuously The fact that goes through bluetooth and not the 4g makes it even more useless and the fact that the application does not update itself according to the medical file and which does not impose n 'don't arende things ... This app and a good idea but not enough to work  bug  and male pencer ....,fr,Completely useless application It does not remain active continuously The fact that goes through bluetooth and not the  g makes it even more useless and the fact that the application does not update itself according to the medical file and which does not impose n  don t arende things     This app and a good idea but not enough to work  bug  and male pencer     ,"Domain_Specific, Gender","male, applic, medic, impos",0.117647059,Negative,0,0,1,0,1,0,0,0,0
123,8/5/20 7:58,fr.gouv.android.stopcovid,StopCovid France,fr,Snaky TheToops,2,L'application se désactive sans prévenir (constaté sur d'autres smartphones de mes proches) et présente donc peut d'intérêt à ce stade. Dommage.,The application is deactivated without warning (found on other smartphones of my relatives) and therefore of little interest at this stage. Pity.,fr,The application is deactivated without warning  found on other smartphones of my relatives  and therefore of little interest at this stage  Pity ,Domain_Specific,applic,0.083333333,Positive,0,0,1,0,0,0,0,0,0
