,Date,AppID,AppName,Country,Author,Rating,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
98,8/4/20 16:31,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,Alon Tarky,5,ان اشكر الجميع على صناعة توكلنا بس كيف يمكن اغير. رقمي في تطبيق توكلنا ارجوا المساعدة,To thank everyone for making our trust  but how can I change it? My number is in the Tawakolna application  please help,ar,To thank everyone for making our trust  but how can I change it  My number is in the Tawakolna application  please help,"Domain_Specific, Privacy","trust, applic",0.2,Positive,0,0,1,0,0,0,0,1,0
104,8/4/20 0:23,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),vi,THi Hoa Nguyên,1,Tôi rất thích ứng dụng nhưng mà không có tiếng việt nam .toàn là tiếng anh và tiếng saudi arabia lên tôi không hiểu được tính năng của ứng dụng này gửi đến Google và youtube VÀ Googla VÀ Googla VÀ .lên tôi chỉ chấm 1sao OK,I like the application very much but without Vietnamese. It's all English and Arabic  I don't understand the feature of this app sent to Google and youtube AND Googla AND Googla AND. Up I just gave 1sao OK,vi,I like the application very much but without Vietnamese  It s all English and Arabic  I don t understand the feature of this app sent to Google and youtube AND Googla AND Googla AND  Up I just gave  sao OK,"Domain_Specific, Language","arab, vietnames, english, applic",0.210526316,Positive,0,0,1,0,0,1,0,0,0
115,8/3/20 1:19,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,ابن الباديه,4,هل استطيع ان اسافر بالطائرة بهذا البرنامج . لان بعض الخطوط الدولية تطلب شهادة فحص خلو من كوفيد ١٩ قبل ركوب الطائره ... وشكرا,Can I travel by plane with this program? Because some international airlines require a certificate of testing free of Covid 19 before boarding the plane ... Thank you,ar,Can I travel by plane with this program  Because some international airlines require a certificate of testing free of Covid    before boarding the plane     Thank you,Socio_economic_Status,free,0.066666667,Positive,0,0,0,0,0,0,0,0,1
125,8/2/20 6:48,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,ضيف الله المطرفي,1,اذا اصبت بالفيروس تعدل حالتك فورا الى مصاب اما اذا تعافيت فتحتاج لقرابت الشهر لتعديل حالتك الى غير مصاب طبعا حاليا الامر غير مهم ولكن وقت الحجر كان الامر بالغ الاهميه والاتصالات لا تفيد توكلنا تحولك على الصحه والصحه تحولك على توكلنا,If you are infected with the virus  your condition will be modified immediately to an infected person  but if you recover  you need close to a month to amend your condition to non-infected. Of course  currently the matter is not important  but at the time of quarantine the matter was very important and communications do not benefit us.,ar,If you are infected with the virus  your condition will be modified immediately to an infected person  but if you recover  you need close to a month to amend your condition to non infected  Of course  currently the matter is not important  but at the time of quarantine the matter was very important and communications do not benefit us ,Domain_Specific,"communic, import",0.074074074,Negative,0,0,1,0,0,0,0,0,0
135,8/1/20 10:48,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,ا يب,3,ارسم نمط! Nr. Tee!! The c gxr NG sgetrysetsrqdwsgetrysetsrqdwwعطرydrgfrdtg,Draw a pattern! Nr. Tee !! The c gxr NG sgetrysetsrqdwsgetrysetsrqdww perfume ydrgfrdtg,af,Draw a pattern  Nr  Tee    The c gxr NG sgetrysetsrqdwsgetrysetsrqdww perfume ydrgfrdtg,Domain_Specific,perfum,0.1,Neutral,0,0,1,0,0,0,0,0,0
140,8/1/20 5:30,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,مناور الكويشر,5,بطي عند الزوم جدا يرجى معالجة الموظوع وشكرا,Bending when the moment is too much  please address the subject and thank you,ar,Bending when the moment is too much  please address the subject and thank you,Domain_Specific,address,0.142857143,Positive,0,0,1,0,0,0,0,0,0
157,7/30/20 20:20,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),en,Ehab Hakeem,1,Application still shows that I am still infected even after I got negative result its not updated with MOH results which is bad news,  Application still shows that I am still infected even after I got negative result its not updated with MOH results which is bad news ,en,  Application still shows that I am still infected even after I got negative result its not updated with MOH results which is bad news ,Domain_Specific,applic,0.071428571,Negative,0,0,1,0,0,0,0,0,0
172,7/29/20 16:38,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,MD AN,5,تطبيق سهل ومريح,Easy and convenient application,ar,Easy and convenient application,Domain_Specific,applic,0.333333333,Positive,0,0,1,0,0,0,0,0,0
191,7/29/20 3:54,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,خالد عثمان,5,توكلنا اسم على مسمى تطبيق سهل ومرن الله يوفقكم يارب,We have trusted the name of an easy and flexible application  God bless you  Lord,ar,We have trusted the name of an easy and flexible application  God bless you  Lord,"Domain_Specific, Privacy","trust, applic",0.25,Positive,0,0,1,0,0,0,0,1,0
194,7/28/20 23:40,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,ابو هشام,5,فعلا تشعر بلامان وانة مع تطبيق توكلنا الرائع وسهل الاستعمال,You really feel safe with the wonderful and easy-to-use Tawakolna application,ar,You really feel safe with the wonderful and easy to use Tawakolna application,Domain_Specific,applic,0.125,Positive,0,0,1,0,0,0,0,0,0
199,7/28/20 20:18,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,Phopha Alnefaie,5,تطبيق رائع بس ياليت يتم فرضه على دخول الأسواق,A wonderful application  but I wish to be imposed on entering the market,ar,A wonderful application  but I wish to be imposed on entering the market,Domain_Specific,"enter, applic, impos",0.5,Positive,0,0,1,0,0,0,0,0,0
239,7/27/20 20:11,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,يوسف الشمري,5,تطبيق مفيد في الجائحة المرضية كورونا,Useful application in Corona disease pandemic,ar,Useful application in Corona disease pandemic,Domain_Specific,applic,0.2,Positive,0,0,1,0,0,0,0,0,0
240,7/27/20 19:09,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,موسى البارقي,5,تطبيق مفيد,Useful application,ar,Useful application,Domain_Specific,applic,0.5,Positive,0,0,1,0,0,0,0,0,0
243,7/27/20 18:50,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),en,mohamed mohamed,5,Perfect application,  Perfect application ,en,  Perfect application ,Domain_Specific,applic,0.5,Positive,0,0,1,0,0,0,0,0,0
245,7/27/20 18:24,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,salman,5,ممتاز جدا جدا وفيه فائده عظيمه أثناء الحجر الصحي وفيه تنبيه يساعد على أتباع التعليمات,Very very excellent and has great benefit during quarantine and has an alert that helps to follow the instructions,ar,Very very excellent and has great benefit during quarantine and has an alert that helps to follow the instructions,Domain_Specific,follow,0.090909091,Positive,0,0,1,0,0,0,0,0,0
249,7/27/20 17:51,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,O. Alsaad,5,عمل جبار يستحقون الثناء على التفاني والإخلاص اعانهم الله وحفظهم من كل سوء ومكروه,A mighty work that deserves to be commended for dedication and sincerity  may God help them and protect them from all evil and harm,ar,A mighty work that deserves to be commended for dedication and sincerity  may God help them and protect them from all evil and harm,Privacy,protect,0.083333333,Positive,0,0,0,0,0,0,0,1,0
254,7/27/20 16:13,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,W Sho Sho,5,تطبيق ممتاز وعلى الله فليتوكل المؤمنون,Excellent application  and God Almighty let the believers trust,ar,Excellent application  and God Almighty let the believers trust,"Domain_Specific, Privacy","trust, applic",0.285714286,Positive,0,0,1,0,0,0,0,1,0
255,7/27/20 15:54,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,صالح النصار,5,علىمستوى,On the level,ar,On the level,Domain_Specific,level,1,Neutral,0,0,1,0,0,0,0,0,0
256,7/27/20 15:44,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,Eman Hassan,5,تطبيق ممتاز جدآ,Very excellent application,ar,Very excellent application,Domain_Specific,applic,0.333333333,Positive,0,0,1,0,0,0,0,0,0
271,7/27/20 13:31,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,Naif Al otaibi,5,بداية مذهله لعصر رقمي,An amazing start to a digital age,ar,An amazing start to a digital age,Age,age,0.25,Positive,1,0,0,0,0,0,0,0,0
285,7/27/20 13:08,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,Mohammed Al-Bargi,1,كان شغال مضبوط ..اليوم اظفتم تحديث وعطبتوه ..صار تجي لوحة التحديث وما تروح حتى لو حدثت البرنامج ..مااقدر اخش عالبرنامج,It was working perfectly .. today you hired an update and disabled it .. the update panel came and you wouldn't go even if you update the program .. I can't be afraid of the program,ar,It was working perfectly    today you hired an update and disabled it    the update panel came and you wouldn t go even if you update the program    I can t be afraid of the program,Disability,disabl,0.066666667,Positive,0,1,0,0,0,0,0,0,0
289,7/27/20 13:05,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),en,Mohammad Almesned,2,مايفتح التطبيق بعد التحديث,What opens the application after the update,ar,What opens the application after the update,Domain_Specific,applic,0.333333333,Neutral,0,0,1,0,0,0,0,0,0
293,7/27/20 13:00,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,ameer aseer,1,الحين التطبيق يقول تحديث ندخل على قوقل بلتي مافيه تحديث ارجو اصلاح الخلل,Then the application says an update  we will enter on Google Play  there is no update  please fix the bug,ar,Then the application says an update  we will enter on Google Play  there is no update  please fix the bug,Domain_Specific,"enter, applic",0.2,Negative,0,0,1,0,0,0,0,0,0
306,7/27/20 12:32,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ru,Abdulkhak Asainov,1,بعد تجديد لا يعمل,After the renovation does not work,ar,After the renovation does not work,Domain_Specific,renov,0.333333333,Neutral,0,0,1,0,0,0,0,0,0
309,7/27/20 12:27,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),en,رهف نقيطي,4,Good for follow up Android updates,  Good for follow up Android updates ,en,  Good for follow up Android updates ,Domain_Specific,follow,0.25,Positive,0,0,1,0,0,0,0,0,0
318,7/27/20 12:06,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,ahmed,5,انصح الكل بتحميله البرنامح مهم وجميل,I advise everyone to download the program is important and beautiful,ar,I advise everyone to download the program is important and beautiful,Domain_Specific,import,0.166666667,Positive,0,0,1,0,0,0,0,0,0
324,7/27/20 11:49,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,عبدالله الربيع,5,توكلنا على الله,Trust us in God,ar,Trust us in God,Privacy,trust,0.333333333,Positive,0,0,0,0,0,0,0,1,0
329,7/27/20 11:40,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,BLAK.MAVYEE العنزي,5,الله يكتب اجركم واجر من ساعد في هذا العمل الرائع ابداع بصراحة شكرا لحكومتنا الرشيده وحرصها على مصلحة المواطنين والمقمين شكرا لكم,God writes your reward and the reward of those who helped in this wonderful work. Honestly creativity Thank you to our good government and its concern for the benefit of citizens and residents Thank you,ar,God writes your reward and the reward of those who helped in this wonderful work  Honestly creativity Thank you to our good government and its concern for the benefit of citizens and residents Thank you,Emotional,concern,0.058823529,Positive,0,0,0,1,0,0,0,0,0
331,7/27/20 11:38,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,Ana Mooca,1,لايعمل اليوم حاولت عدة مرات تشغيل البرنامج ولم يعمل ليش هل يلزم إعطائه ٥نجوم أو لايعمل,Does not work today I tried several times to run the program and it did not work Why do I need to give it 5 stars or it does not work,ar,Does not work today I tried several times to run the program and it did not work Why do I need to give it   stars or it does not work,Domain_Specific,run,0.066666667,Neutral,0,0,1,0,0,0,0,0,0
336,7/27/20 11:17,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,abdulrhmanbq,1,عندي مشكله في التطبيق صار يقلي يحتاج تحديث وحدثت وبرضو لازالت فيه مشكله التطبيق لا يعمل عندي الرجاء حل المشكله وشكرا,I have a problem in the application  and the frying started needs updating and it happened  but I still have the problem of the application not working for me please solve the problem and thank you,ar,I have a problem in the application  and the frying started needs updating and it happened  but I still have the problem of the application not working for me please solve the problem and thank you,Domain_Specific,applic,0.066666667,Negative,0,0,1,0,0,0,0,0,0
348,7/27/20 10:40,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,احمد الحميدي,5,يابلادي واصلي والله معاكي والله يحميكي بلاد المسلمين بلاد المسلمين,My country and pray  and God be with you  and God protects you  Muslim countries  Muslim countries,ar,My country and pray  and God be with you  and God protects you  Muslim countries  Muslim countries,"Language, Location, Privacy","countri, countri, protect",0.333333333,Positive,0,0,0,0,0,1,1,1,0
350,7/27/20 10:27,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),en,Gerardo De Guzman,4,Good application and useful.,  Good application and useful. ,en,  Good application and useful  ,Domain_Specific,applic,0.333333333,Positive,0,0,1,0,0,0,0,0,0
360,7/26/20 11:45,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,yaseer mohmeed kaagah,5,جميل جداً جداً ومفيد للتجمعات,Very very nice and helpful for gatherings,ar,Very very nice and helpful for gatherings,Domain_Specific,gather,0.2,Positive,0,0,1,0,0,0,0,0,0
370,7/25/20 7:18,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,Eiad Alkhalil,5,جزاكم الله خيرا وحفظكم من كل مكروه تطبيق مهم جدا بالوقت الحالي,May Allah reward you well and protect you from all harm  a very important application at the present time,ar,May Allah reward you well and protect you from all harm  a very important application at the present time,"Domain_Specific, Privacy","protect, import, applic, present",0.363636364,Positive,0,0,1,0,0,0,0,1,0
378,7/24/20 11:51,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,HAMD ALRSEDE,5,افاد ناس كثير وقت الحجر الصحي تحياتي لمن صنع التطبيق❤❤,Many people at the time of quarantine reported greetings to those who made the application❤❤,ar,Many people at the time of quarantine reported greetings to those who made the application  ,Domain_Specific,applic,0.125,Positive,0,0,1,0,0,0,0,0,0
403,7/21/20 19:15,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,halah 22,5,مشاء الله تطبيق رائع شكران توكلنا 💞👉,God willing  a wonderful application. Thank you,ar,God willing  a wonderful application  Thank you,Domain_Specific,applic,0.25,Positive,0,0,1,0,0,0,0,0,0
414,7/21/20 8:00,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,ابورامي العبدلي,5,خدمة ممتاة وفقكم الله,Blessed service  may God bless you,ar,Blessed service  may God bless you,Domain_Specific,"servic, servic",0.4,Positive,0,0,1,0,0,0,0,0,0
427,7/20/20 7:26,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,ibrahim toweel,5,الله يستر علينا وعليكم بالخير والأمن,May God protect us and you with good and security,ar,May God protect us and you with good and security,Privacy,"secur, protect, secur",0.5,Positive,0,0,0,0,0,0,0,1,0
428,7/20/20 5:37,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,Obod Basonbul,4,تطبيق رائع يفيد في تخطي الجائحة بإذن الله تعالى نشكر من قام على إعداده,A wonderful application that is useful in overcoming the pandemic  God willing. We thank those who prepared it,ar,A wonderful application that is useful in overcoming the pandemic  God willing  We thank those who prepared it,Domain_Specific,"prepar, prepar, applic",0.375,Positive,0,0,1,0,0,0,0,0,0
435,7/19/20 18:27,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,خالد حسين الحاج,5,خدمه تلامس الواقع واخبار من مصدرها,A service that touches reality and news from its source,ar,A service that touches reality and news from its source,Domain_Specific,"servic, servic",0.4,Neutral,0,0,1,0,0,0,0,0,0
465,7/18/20 14:40,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,الموزع مستر بيانو,5,افضل تطبيق والله خدمني كثيييير,The best application and God served me a lot,ar,The best application and God served me a lot,Domain_Specific,applic,0.2,Positive,0,0,1,0,0,0,0,0,0
466,7/18/20 13:46,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,Ali Alwshm,4,أزمة وتعدي جزاك الله خير على هذا التطبيق,Crisis and encroachment  may God reward you well for this application,ar,Crisis and encroachment  may God reward you well for this application,Domain_Specific,applic,0.142857143,Positive,0,0,1,0,0,0,0,0,0
474,7/17/20 21:34,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,abdelwahab awad,5,تطبيق روعة وسهل علينا كثير,A wonderful and easy application for us many,ar,A wonderful and easy application for us many,Domain_Specific,applic,0.2,Positive,0,0,1,0,0,0,0,0,0
490,7/17/20 12:41,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,Ahmad Al Khatib,1,ما عم اقدر سجل، بيكتبولي لازم التواجد داخل المملكة وانا جنسيتي سورية زيارة لم استطع التسجيل نهائيا,I cannot register. I must be present in the Kingdom while my nationality is Syrian. I could not register permanently,ar,I cannot register  I must be present in the Kingdom while my nationality is Syrian  I could not register permanently,Domain_Specific,present,0.111111111,Neutral,0,0,1,0,0,0,0,0,0
492,7/17/20 8:46,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,Jerry Brown,4,التطبيق ممتاز بس ياليت تضيفون داخله تباعد وصحتي موعد صحه وتطمن كل التطبيقات الي تختص بالصحه العامه والخدمات وتفكونا من كثر التطبيقات,The application is excellent  but I wish you would add a spacing and health in it  a time of health and reassure all the applications that are concerned with public health and services and make us from many applications,ar,The application is excellent  but I wish you would add a spacing and health in it  a time of health and reassure all the applications that are concerned with public health and services and make us from many applications,"Domain_Specific, Emotional","concern, servic, servic, applic",0.210526316,Positive,0,0,1,1,0,0,0,0,0
499,7/17/20 3:28,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),en,محسن أبوالبراء,5,تطبيق ممتاز .. ومبادرة رائعة ..كل التوفيق للقائمين عليها,An excellent application .. and a great initiative .. all the best for those in charge,ar,An excellent application    and a great initiative    all the best for those in charge,Domain_Specific,applic,0.166666667,Positive,0,0,1,0,0,0,0,0,0
510,7/16/20 19:13,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,الإدارة والمجتمع,5,ابداع خصوصا بربطه بتطبيق تباعد ياليت الجميع يحمله,Creativity especially by linking it to the application of the spacing I wish everyone carries,ar,Creativity especially by linking it to the application of the spacing I wish everyone carries,Domain_Specific,applic,0.125,Positive,0,0,1,0,0,0,0,0,0
512,7/16/20 18:11,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,Mohammad Alsahafi,5,رائع خلال فترة الحجر وقدم لنا خدمه كنا بحاجه لها,Wonderful during the quarantine period and he gave us the service we needed,ar,Wonderful during the quarantine period and he gave us the service we needed,Domain_Specific,"servic, servic",0.25,Positive,0,0,1,0,0,0,0,0,0
521,7/16/20 12:33,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,احمد العربي,5,اللهم اشفي مرضانا ومرضى المسلمين,Oh God  heal our patients and the sick Muslims,ar,Oh God  heal our patients and the sick Muslims,Emotional,sick,0.166666667,Negative,0,0,0,1,0,0,0,0,0
544,7/16/20 6:33,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),en,Abo0ode F8,1,"تطبيق مظهري فاسد لأنه كل ما أدخل رقم الإقامة يظهر خطأ ويذكِّر بإدخال رقم جواز السفر، وتنوبوا ب""توكلنا"" لا توكل على مفسدة.",Mazaheri application is corrupt because everything that I enter the residency number shows an error and reminds us to enter the passport number  and they proclaimed “trust us” not to entrust a spoiler.,ar,Mazaheri application is corrupt because everything that I enter the residency number shows an error and reminds us to enter the passport number  and they proclaimed  trust us  not to entrust a spoiler ,"Domain_Specific, Privacy","trust, enter, applic",0.15,Positive,0,0,1,0,0,0,0,1,0
555,7/16/20 5:19,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,ابوليث المرزوقي,5,توكلنا على الله,Trust us in God,ar,Trust us in God,Privacy,trust,0.333333333,Positive,0,0,0,0,0,0,0,1,0
562,7/16/20 4:25,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,تخيلتك تناديني,5,ارجو اشعار جميع المواطنين بتحميل تطبيق تباعد وتفعيل وشكرا,Please notify all citizens to download the application of spacing and activation. Thank you,ar,Please notify all citizens to download the application of spacing and activation  Thank you,Domain_Specific,applic,0.125,Positive,0,0,1,0,0,0,0,0,0
567,7/16/20 4:08,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,سبحان الله,5,تطبيق مميز بكل ما تعنيه الكلمة جزى الله القائمين عليه خير الجزاء,A distinctive application in every sense of the word. May God reward those who support it,ar,A distinctive application in every sense of the word  May God reward those who support it,Domain_Specific,applic,0.111111111,Positive,0,0,1,0,0,0,0,0,0
586,7/16/20 1:25,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,Adel Ksa,5,حفظ الله الجميع وادام على بلادنا الأمن والأمان,May God protect everyone and maintain security and safety for our country,ar,May God protect everyone and maintain security and safety for our country,"Language, Location, Privacy","countri, countri, secur, protect, secur",0.625,Positive,0,0,0,0,0,1,1,1,0
587,7/16/20 0:45,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,علي القحطاني,5,تطبيق ممتاز اشكر القائمين عليه,Excellent application I thank those in charge of it,ar,Excellent application I thank those in charge of it,Domain_Specific,applic,0.25,Positive,0,0,1,0,0,0,0,0,0
594,7/15/20 15:49,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,حبيب علي,5,ممتاز جدا الف شكرا على هذا الخدمه,Very excellent. A thousand thanks for this service,ar,Very excellent  A thousand thanks for this service,Domain_Specific,"servic, servic",0.4,Positive,0,0,1,0,0,0,0,0,0
598,7/15/20 14:35,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,Mohamed FAYEZ,5,من التطبيقات الممتازه,It is an excellent application,ar,It is an excellent application,Domain_Specific,applic,0.5,Positive,0,0,1,0,0,0,0,0,0
602,7/15/20 14:09,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,محمد القحطاني,5,إلى الأمام والله يعز الأمن والأمان,Forward  God cherishes security and safety,ar,Forward  God cherishes security and safety,"Domain_Specific, Privacy","secur, secur, forward",0.6,Positive,0,0,1,0,0,0,0,1,0
604,7/15/20 14:07,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,Mishal Nasser,5,تطبيق ذكي للأجهزة الذكيه واللوحيه جدا جميل تقدمة هذه الدولة الكريمه وبشكل رايع ليستفيد منه جميع المواطنين والمقيمين للخروج وقت الضروره القسوى والله يحفظ هذه البلد وجميع بلدان العالم إلاسلامي ويزيل هذه الدا يكريم,A smart application for smart and tablet devices is very beautiful  presented by this honorable country  so that all citizens and residents benefit from it to go out in times of extreme necessity  and God preserves this country and all countries of the Islamic world and removes this honor,ar,A smart application for smart and tablet devices is very beautiful  presented by this honorable country  so that all citizens and residents benefit from it to go out in times of extreme necessity  and God preserves this country and all countries of the Islamic world and removes this honor,"Domain_Specific, Language, Location","countri, countri, remov, preserv, applic, present",0.24,Positive,0,0,1,0,0,1,1,0,0
606,7/15/20 13:38,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,Jsb Jsn,5,من افضل مامرعلي هذا التطبيق,One of the best things about this application,ar,One of the best things about this application,Domain_Specific,applic,0.25,Positive,0,0,1,0,0,0,0,0,0
